ubicacion,owners,owner_count,articles,article_count,tipologia,width_mode,stock_pal_total,pasillo,columna,altura,denominacion_propietario,assigned_owner,owner_bucket,unit_resultante,eu_equivalente_factor
009-104-00,[5],1,['43069'],1,suelo_estandar,S,1.0,9.0,104.0,0.0,SAN MIGUEL,5,5,posicion_suelo,1.0
009-105-00,[37],1,['148050'],1,suelo_estandar,S,1.0,9.0,105.0,0.0,ALHAMBRA CORPORATIVO,37,37,posicion_suelo,1.0
009-105-10,[4],1,['34017'],1,TR,TR,2.0,9.0,105.0,10.0,SOLAN,4,4,posicion_rack,3.0
009-105-20,[3],1,['99015'],1,TR,TR,10.0,9.0,105.0,20.0,ALHAMBRA,3,3,posicion_rack,3.0
009-105-30,[96],1,['92151'],1,TR,TR,2.0,9.0,105.0,30.0,VENUES,96,96,posicion_rack,3.0
009-105-40,[24],1,['34015'],1,TR,TR,4.0,9.0,105.0,40.0,MCC MADRID,24,24,posicion_rack,3.0
009-106-00,[23],1,['51087'],1,suelo_estandar,S,1.0,9.0,106.0,0.0,MAHOU-MARKETING OCIO,23,23,posicion_suelo,1.0
009-106-20,[30],1,['202050'],1,TR,TR,5.0,9.0,106.0,20.0,EVENTOS COMERCIALES,30,30,posicion_rack,3.0
009-106-30,[5],1,['92167'],1,TR,TR,4.0,9.0,106.0,30.0,SAN MIGUEL,5,5,posicion_rack,3.0
009-106-40,[4],1,['23073'],1,TR,TR,1.0,9.0,106.0,40.0,SOLAN,4,4,posicion_rack,3.0
009-109-00,[5],1,['92178'],1,suelo_estandar,S,1.0,9.0,109.0,0.0,SAN MIGUEL,5,5,posicion_suelo,1.0
009-111-10,[23],1,['161068'],1,TR,TR,1.0,9.0,111.0,10.0,MAHOU-MARKETING OCIO,23,23,posicion_rack,3.0
009-111-20,[3],1,['152155'],1,TR,TR,8.0,9.0,111.0,20.0,ALHAMBRA,3,3,posicion_rack,3.0
009-111-30,[95],1,['205035'],1,TR,TR,12.0,9.0,111.0,30.0,INNOVACION,95,95,posicion_rack,3.0
009-111-40,[23],1,['161068'],1,TR,TR,1.0,9.0,111.0,40.0,MAHOU-MARKETING OCIO,23,23,posicion_rack,3.0
009-112-10,[3],1,['207020'],1,TR,TR,4.0,9.0,112.0,10.0,ALHAMBRA,3,3,posicion_rack,3.0
009-112-20,[5],1,['204098'],1,TR,TR,8.0,9.0,112.0,20.0,SAN MIGUEL,5,5,posicion_rack,3.0
009-112-30,[5],1,['174125'],1,TR,TR,1.0,9.0,112.0,30.0,SAN MIGUEL,5,5,posicion_rack,3.0
009-112-40,[82],1,['92148'],1,TR,TR,1.0,9.0,112.0,40.0,BRUTUS DESARROLLO COMERCIAL,82,82,posicion_rack,3.0
009-114-00,[34],1,['96036'],1,suelo_estandar,S,4.0,9.0,114.0,0.0,CUENTAS NACIONALES,34,34,posicion_suelo,1.0
009-117-10,[71],1,['92050'],1,TR,TR,2.0,9.0,117.0,10.0,BUDWEISER,71,71,posicion_rack,3.0
009-117-20,[5],1,['51388'],1,TR,TR,1.0,9.0,117.0,20.0,SAN MIGUEL,5,5,posicion_rack,3.0
009-117-30,[71],1,['92050'],1,TR,TR,2.0,9.0,117.0,30.0,BUDWEISER,71,71,posicion_rack,3.0
009-117-40,[32],1,['206000'],1,TR,TR,1.0,9.0,117.0,40.0,MCC CENTRO - OESTE,32,32,posicion_rack,3.0
009-118-10,[3],1,['51387'],1,TR,TR,2.0,9.0,118.0,10.0,ALHAMBRA,3,3,posicion_rack,3.0
009-118-20,[4],1,['92156'],1,TR,TR,1.0,9.0,118.0,20.0,SOLAN,4,4,posicion_rack,3.0
009-118-30,[14],1,['152190'],1,TR,TR,6.0,9.0,118.0,30.0,FUNDACION MAHOU SAN MIGUEL,14,14,posicion_rack,3.0
009-118-40,[5],1,['159018'],1,TR,TR,2.0,9.0,118.0,40.0,SAN MIGUEL,5,5,posicion_rack,3.0
009-123-10,[23],1,['203097'],1,TR,TR,2.0,9.0,123.0,10.0,MAHOU-MARKETING OCIO,23,23,posicion_rack,3.0
009-123-20,[62],1,['207014'],1,TR,TR,2.0,9.0,123.0,20.0,MAHOU JOVEN,62,62,posicion_rack,3.0
009-123-30,[5],1,['97028'],1,TR,TR,1.0,9.0,123.0,30.0,SAN MIGUEL,5,5,posicion_rack,3.0
009-124-20,[34],1,['91285'],1,TR,TR,1.0,9.0,124.0,20.0,NOMBRE,34,34,posicion_rack,3.0
009-124-30,[34],1,['99031'],1,TR,TR,1.0,9.0,124.0,30.0,NOMBRE,34,34,posicion_rack,3.0
009-124-40,[51],1,['203082'],1,TR,TR,4.0,9.0,124.0,40.0,NOMBRE,51,51,posicion_rack,3.0
009-128-40,[32],1,['187248'],1,TR,TR,2.0,9.0,128.0,40.0,MCC CENTRO - OESTE,32,32,posicion_rack,3.0
009-129-10,[23],1,['203096'],1,TR,TR,2.0,9.0,129.0,10.0,MAHOU-MARKETING OCIO,23,23,posicion_rack,3.0
009-129-20,[96],1,['92190'],1,TR,TR,1.0,9.0,129.0,20.0,VENUES,96,96,posicion_rack,3.0
009-129-30,[23],1,['161149'],1,TR,TR,1.0,9.0,129.0,30.0,MAHOU-MARKETING OCIO,23,23,posicion_rack,3.0
009-129-40,[72],1,['51325'],1,TR,TR,1.0,9.0,129.0,40.0,LA SALVE,72,72,posicion_rack,3.0
009-130-10,[4],1,"['152033', '154929', '189032', '191003']",4,TR,TR,13.0,9.0,130.0,10.0,NOMBRE,4,4,posicion_rack,3.0
009-130-20,[23],1,"['206107', '206108', '51220', '51277']",4,TR,TR,21.0,9.0,130.0,20.0,NOMBRE,23,23,posicion_rack,3.0
009-130-30,[5],1,['207000'],1,TR,TR,2.0,9.0,130.0,30.0,NOMBRE,5,5,posicion_rack,3.0
010-061-01,[23],1,['172214'],1,balda_9h,BD,2.0,10.0,61.0,1.0,MAHOU-MARKETING OCIO,23,23,subhueco_balda,0.1111111111111111
010-061-02,[5],1,['209049'],1,balda_9h,BD,50.0,10.0,61.0,2.0,SAN MIGUEL,5,5,subhueco_balda,0.1111111111111111
010-061-03,[14],1,['71150'],1,balda_9h,BD,12.0,10.0,61.0,3.0,FUNDACION MAHOU SAN MIGUEL,14,14,subhueco_balda,0.1111111111111111
010-061-04,[79],1,['107213'],1,balda_9h,BD,18.0,10.0,61.0,4.0,SAN MIGUEL CORPORATIVO,79,79,subhueco_balda,0.1111111111111111
010-061-05,[23],1,['83164'],1,balda_9h,BD,204.0,10.0,61.0,5.0,MAHOU-MARKETING OCIO,23,23,subhueco_balda,0.1111111111111111
010-061-06,[3],1,['131018'],1,balda_9h,BD,20.0,10.0,61.0,6.0,ALHAMBRA,3,3,subhueco_balda,0.1111111111111111
010-061-07,[3],1,['21223'],1,balda_9h,BD,2.0,10.0,61.0,7.0,ALHAMBRA,3,3,subhueco_balda,0.1111111111111111
010-061-08,[23],1,['49004'],1,balda_9h,BD,109.0,10.0,61.0,8.0,MAHOU-MARKETING OCIO,23,23,subhueco_balda,0.1111111111111111
010-061-09,[3],1,['131141'],1,balda_9h,BD,139.0,10.0,61.0,9.0,ALHAMBRA,3,3,subhueco_balda,0.1111111111111111
010-061-10,[98],1,"['103216', '106355', '106356', '107160', '107206', '107207', '115147', '115148', '115149', '145136', '154091', '181196', '83134']",13,EU,EU,736.0,10.0,61.0,10.0,NOMBRE,98,98,posicion_rack,1.0
010-061-20,[76],1,"['142122', '142123']",2,EU,EU,3.0,10.0,61.0,20.0,NOMBRE,76,76,posicion_rack,1.0
010-061-30,[6],1,"['109322', '129097', '129098', '129114', '133076', '161174', '184244', '184255', '184256', '186138', '186139', '205176', '205185', '205186', '205187']",15,EU,EU,1418.0,10.0,61.0,30.0,NOMBRE,6,6,posicion_rack,1.0
010-061-40,[30],1,"['142046', '143071']",2,EU,EU,20.0,10.0,61.0,40.0,NOMBRE,30,30,posicion_rack,1.0
010-062-00,[98],1,['93105'],1,suelo_250,S,1.0,10.0,62.0,0.0,MAHOU CANAL,98,98,posicion_suelo,1.0
010-062-10,"[5, 23]",2,"['124296', '129070', '129133', '172206', '181208', '181237', '209033', '42125', '42126', '42127', '42128', '42129', '42130', '42132']",14,EU,EU,99.0,10.0,62.0,10.0,NOMBRE,,sin_asignacion_segura,posicion_rack,1.0
010-062-20,[6],1,"['122049', '122187', '123025', '129001', '129135', '132081', '164013', '186141', '191057', '191058', '191059', '191060', '24001', '86161']",14,EU,EU,1739.0,10.0,62.0,20.0,NOMBRE,6,6,posicion_rack,1.0
010-062-30,[23],1,"['103197', '107092', '109195', '109196', '122157', '123098', '125128', '131113', '132056', '132085', '133020', '133203', '133209', '133210', '133211', '133212', '133213', '143007', '181236', '187056', '53000', '84034', '86004', '86130', '87011', '89075', '992001']",27,EU,EU,2136.0,10.0,62.0,30.0,NOMBRE,23,23,posicion_rack,1.0
010-062-40,[5],1,"['113084', '124285', '133089', '152016', '161189', '161199', '172205', '192050', '192058', '35027', '42045', '51186', '83157', '991134', '991141']",15,EU,EU,382.0,10.0,62.0,40.0,NOMBRE,5,5,posicion_rack,1.0
010-063-01,[23],1,['133202'],1,balda_9h,BD,212.0,10.0,63.0,1.0,MAHOU-MARKETING OCIO,23,23,subhueco_balda,0.1111111111111111
010-063-02,[96],1,['129111'],1,balda_9h,BD,39.0,10.0,63.0,2.0,VENUES,96,96,subhueco_balda,0.1111111111111111
010-063-03,[29],1,['112051'],1,balda_9h,BD,17.0,10.0,63.0,3.0,MAHOU FUTBOL,29,29,subhueco_balda,0.1111111111111111
010-063-04,[3],1,['51251'],1,balda_9h,BD,1.0,10.0,63.0,4.0,ALHAMBRA,3,3,subhueco_balda,0.1111111111111111
010-063-05,[4],1,['83044'],1,balda_9h,BD,1.0,10.0,63.0,5.0,SOLAN,4,4,subhueco_balda,0.1111111111111111
010-063-06,[89],1,['129083'],1,balda_9h,BD,7.0,10.0,63.0,6.0,BRAND MANAGEMENT MERCADO,89,89,subhueco_balda,0.1111111111111111
010-063-07,[23],1,['186156'],1,balda_9h,BD,9.0,10.0,63.0,7.0,MAHOU-MARKETING OCIO,23,23,subhueco_balda,0.1111111111111111
010-063-08,[4],1,['133077'],1,balda_9h,BD,79.0,10.0,63.0,8.0,SOLAN,4,4,subhueco_balda,0.1111111111111111
010-063-09,[14],1,['62001'],1,balda_9h,BD,30.0,10.0,63.0,9.0,FUNDACION MAHOU SAN MIGUEL,14,14,subhueco_balda,0.1111111111111111
010-063-10,[32],1,"['132068', '133240', '153008', '161000']",4,EU,EU,36.0,10.0,63.0,10.0,NOMBRE,32,32,posicion_rack,1.0
010-063-20,[6],1,"['112048', '124134', '124135', '125133', '129099', '129134', '131054', '205177', '65004', '71161', '84105', '89058']",12,EU,EU,451.0,10.0,63.0,20.0,NOMBRE,6,6,posicion_rack,1.0
010-063-30,[30],1,"['127073', '172164', '183134', '84098', '84109']",5,EU,EU,11.0,10.0,63.0,30.0,NOMBRE,30,30,posicion_rack,1.0
010-063-40,[3],1,"['109198', '122063', '124200', '125111', '125112', '147039', '161196', '161197', '169028', '181118', '184231', '49004', '49049', '53024', '54098', '54102', '83106', '86140', '86144', '87062', '87063', '89118']",22,EU,EU,1211.0,10.0,63.0,40.0,NOMBRE,3,3,posicion_rack,1.0
010-064-10,[29],1,"['102626', '107130', '107131', '181223', '42003', '42131', '51085']",7,EU,EU,48.0,10.0,64.0,10.0,NOMBRE,29,29,posicion_rack,1.0
010-064-20,[3],1,"['103160', '122067', '141143', '143031', '143104', '145112', '161002', '164016', '164017', '166037', '82033', '82034', '82035', '82036', '82038', '83143', '85015', '85038', '85039', '85040', '85042', '85051', '86003', '86004', '86097', '86122', '86123', '86128', '86147', '86148', '86149', '86150', '87045', '87048', '89093', '89095', '991118']",37,EU,EU,238.0,10.0,64.0,20.0,NOMBRE,3,3,posicion_rack,1.0
010-064-30,[5],1,"['103562', '109041', '125144', '133187', '152025', '155000', '174028', '209047', '51040', '83028', '84036', '991031']",12,EU,EU,26.0,10.0,64.0,30.0,NOMBRE,5,5,posicion_rack,1.0
010-064-40,[5],1,"['102701', '106326', '121022', '122181', '131070', '131166', '132060', '134040', '152196', '172004', '172089', '23112', '32034', '51142', '54064', '62007', '83049', '85032', '86190', '87064']",20,EU,EU,334.0,10.0,64.0,40.0,NOMBRE,5,5,posicion_rack,1.0
010-065-01,[34],1,['51381'],1,balda_9h,BD,1.0,10.0,65.0,1.0,CUENTAS NACIONALES,34,34,subhueco_balda,0.1111111111111111
010-065-02,[4],1,['84070'],1,balda_9h,BD,16.0,10.0,65.0,2.0,SOLAN,4,4,subhueco_balda,0.1111111111111111
010-065-03,[14],1,['64016'],1,balda_9h,BD,18.0,10.0,65.0,3.0,FUNDACION MAHOU SAN MIGUEL,14,14,subhueco_balda,0.1111111111111111
010-065-04,[14],1,['132050'],1,balda_9h,BD,3.0,10.0,65.0,4.0,FUNDACION MAHOU SAN MIGUEL,14,14,subhueco_balda,0.1111111111111111
010-065-05,[14],1,['131134'],1,balda_9h,BD,14.0,10.0,65.0,5.0,FUNDACION MAHOU SAN MIGUEL,14,14,subhueco_balda,0.1111111111111111
010-065-06,[14],1,['131118'],1,balda_9h,BD,160.0,10.0,65.0,6.0,FUNDACION MAHOU SAN MIGUEL,14,14,subhueco_balda,0.1111111111111111
010-065-07,[90],1,['52020'],1,balda_9h,BD,1.0,10.0,65.0,7.0,HUB CONTENIDO & ACTIVACION,90,90,subhueco_balda,0.1111111111111111
010-065-08,[95],1,['86194'],1,balda_9h,BD,3.0,10.0,65.0,8.0,INNOVACION,95,95,subhueco_balda,0.1111111111111111
010-065-09,[3],1,['41003'],1,balda_9h,BD,8.0,10.0,65.0,9.0,ALHAMBRA,3,3,subhueco_balda,0.1111111111111111
010-065-10,[3],1,"['113081', '123107', '129047', '133218', '145094', '159011', '185022', '209025', '42136', '49049', '81012', '86182']",12,EU,EU,455.0,10.0,65.0,10.0,NOMBRE,3,3,posicion_rack,1.0
010-065-20,[95],1,"['102730', '102731', '103593', '105029', '105107', '105108', '105109', '106667', '121509', '125142', '128249', '128250', '133220', '133221', '152194', '181232', '186150', '186151', '186152', '86131', '991138']",21,EU,EU,2932.0,10.0,65.0,20.0,INNOVACION,95,95,posicion_rack,1.0
010-065-30,[82],1,"['131142', '131143', '21217']",3,EU,EU,303.0,10.0,65.0,30.0,NOMBRE,82,82,posicion_rack,1.0
010-065-40,[95],1,"['72123', '72126']",2,EU,EU,471.0,10.0,65.0,40.0,INNOVACION,95,95,posicion_rack,1.0
010-066-00,[3],1,['154094'],1,suelo_250,S,1.0,10.0,66.0,0.0,ALHAMBRA,3,3,posicion_suelo,1.0
010-066-10,[3],1,"['102255', '102256', '103344', '103345', '105115', '109042', '123113', '124142', '133125', '141139', '142127', '174149', '51386', '53020', '81052', '81053', '81163', '82029', '82040', '82041', '82042', '82043', '84067', '85051', '86178', '89011']",26,EU,EU,857.0,10.0,66.0,10.0,NOMBRE,3,3,posicion_rack,1.0
010-066-20,[95],1,"['128251', '128252', '128253', '128254', '128255', '186153']",6,EU,EU,26.0,10.0,66.0,20.0,INNOVACION,95,95,posicion_rack,1.0
010-066-30,[62],1,"['102257', '102258', '102259', '103386', '103608', '103609', '106358', '106359', '106360', '106361', '106362', '109311', '109331', '109332', '111039', '111041', '123116', '124286', '127057', '128260', '129147', '132079', '132080', '133184', '133239', '143135', '152048', '181204', '186155', '51265', '51266', '51267', '51268', '51269', '51270', '51271', '51272', '51354', '54120', '84103']",40,EU,EU,1894.0,10.0,66.0,30.0,NOMBRE,62,62,posicion_rack,1.0
010-066-40,[4],1,"['132047', '147043', '172123', '191054', '192004', '207022', '209021', '33071', '89109']",9,EU,EU,33.0,10.0,66.0,40.0,NOMBRE,4,4,posicion_rack,1.0
010-067-01,[14],1,['143017'],1,balda_9h,BD,3.0,10.0,67.0,1.0,FUNDACION MAHOU SAN MIGUEL,14,14,subhueco_balda,0.1111111111111111
010-067-02,[14],1,['131131'],1,balda_9h,BD,15.0,10.0,67.0,2.0,FUNDACION MAHOU SAN MIGUEL,14,14,subhueco_balda,0.1111111111111111
010-067-03,[14],1,['106031'],1,balda_9h,BD,125.0,10.0,67.0,3.0,FUNDACION MAHOU SAN MIGUEL,14,14,subhueco_balda,0.1111111111111111
010-067-04,[95],1,['133105'],1,balda_9h,BD,14.0,10.0,67.0,4.0,INNOVACION,95,95,subhueco_balda,0.1111111111111111
010-067-05,[3],1,['81010'],1,balda_9h,BD,28.0,10.0,67.0,5.0,ALHAMBRA,3,3,subhueco_balda,0.1111111111111111
010-067-06,[14],1,['103084'],1,balda_9h,BD,5.0,10.0,67.0,6.0,FUNDACION MAHOU SAN MIGUEL,14,14,subhueco_balda,0.1111111111111111
010-067-07,[14],1,['113053'],1,balda_9h,BD,7.0,10.0,67.0,7.0,FUNDACION MAHOU SAN MIGUEL,14,14,subhueco_balda,0.1111111111111111
010-067-09,[14],1,['131135'],1,balda_9h,BD,43.0,10.0,67.0,9.0,FUNDACION MAHOU SAN MIGUEL,14,14,subhueco_balda,0.1111111111111111
010-067-10,[34],1,"['105032', '105045', '105048', '105049', '172164', '172215', '174079', '181174', '181225', '182159', '51245', '52004', '54116', '84071', '84095', '84111']",16,EU,EU,73.0,10.0,67.0,10.0,NOMBRE,34,34,posicion_rack,1.0
010-067-20,[3],1,"['129100', '131018', '143045', '154084', '161159', '172113', '174057', '89123']",8,EU,EU,147.0,10.0,67.0,20.0,NOMBRE,3,3,posicion_rack,1.0
010-067-30,[96],1,"['102228', '102733', '103184', '103206', '103227', '105105', '107161', '121069', '122061', '125143', '133222', '133223', '133224', '184257', '186154', '187252', '187253', '53026', '991139']",19,EU,EU,1553.0,10.0,67.0,30.0,NOMBRE,96,96,posicion_rack,1.0
010-067-40,[4],1,"['109043', '114000', '123010', '125062', '126088', '147014', '149046', '83158', '84030', '86187', '86188', '86189', '991143']",13,EU,EU,669.0,10.0,67.0,40.0,NOMBRE,4,4,posicion_rack,1.0
010-068-10,[76],1,"['159013', '192056', '192057']",3,EU,EU,6.0,10.0,68.0,10.0,NOMBRE,76,76,posicion_rack,1.0
010-068-20,[74],1,"['133180', '141178', '141179', '141180', '143149', '146107', '154035', '154036', '176029', '21214', '31170', '42109', '42110', '83159', '83161', '86193']",16,EU,EU,146.0,10.0,68.0,20.0,NOMBRE,74,74,posicion_rack,1.0
010-068-30,[3],1,"['107084', '109317', '145018', '54097', '54101', '54105', '81011', '81027', '85023', '85048', '85049', '87052', '87065']",13,EU,EU,209.0,10.0,68.0,30.0,NOMBRE,3,3,posicion_rack,1.0
010-068-40,[4],1,"['109308', '113075', '127028', '133190', '133196', '133197', '146048', '147007', '152048', '166021', '174110', '174111', '991125']",13,EU,EU,282.0,10.0,68.0,40.0,NOMBRE,4,4,posicion_rack,1.0
010-069-01,[14],1,['83117'],1,balda_9h,BD,110.0,10.0,69.0,1.0,FUNDACION MAHOU SAN MIGUEL,14,14,subhueco_balda,0.1111111111111111
010-069-02,[14],1,['103081'],1,balda_9h,BD,20.0,10.0,69.0,2.0,FUNDACION MAHOU SAN MIGUEL,14,14,subhueco_balda,0.1111111111111111
010-069-03,[14],1,['113048'],1,balda_9h,BD,40.0,10.0,69.0,3.0,FUNDACION MAHOU SAN MIGUEL,14,14,subhueco_balda,0.1111111111111111
010-069-04,[14],1,['121495'],1,balda_9h,BD,42.0,10.0,69.0,4.0,FUNDACION MAHOU SAN MIGUEL,14,14,subhueco_balda,0.1111111111111111
010-069-05,[14],1,['102154'],1,balda_9h,BD,228.0,10.0,69.0,5.0,FUNDACION MAHOU SAN MIGUEL,14,14,subhueco_balda,0.1111111111111111
010-069-06,[14],1,['113051'],1,balda_9h,BD,10.0,10.0,69.0,6.0,FUNDACION MAHOU SAN MIGUEL,14,14,subhueco_balda,0.1111111111111111
010-069-07,[14],1,['129053'],1,balda_9h,BD,27.0,10.0,69.0,7.0,FUNDACION MAHOU SAN MIGUEL,14,14,subhueco_balda,0.1111111111111111
010-069-08,[14],1,['131136'],1,balda_9h,BD,100.0,10.0,69.0,8.0,FUNDACION MAHOU SAN MIGUEL,14,14,subhueco_balda,0.1111111111111111
010-069-09,[14],1,['102155'],1,balda_9h,BD,38.0,10.0,69.0,9.0,FUNDACION MAHOU SAN MIGUEL,14,14,subhueco_balda,0.1111111111111111
010-069-10,[4],1,"['102212', '103136', '103137', '105099', '105100', '105101', '106039', '109082', '113019', '124101', '124102', '124119', '124120', '129128', '133189', '133198', '145107', '145137', '182157', '84097']",20,EU,EU,1046.0,10.0,69.0,10.0,NOMBRE,4,4,posicion_rack,1.0
010-069-20,[71],1,"['102579', '103185', '143075', '143095', '72091']",5,EU,EU,159.0,10.0,69.0,20.0,NOMBRE,71,71,posicion_rack,1.0
010-069-30,[95],1,"['128243', '128244', '86131']",3,EU,EU,191.0,10.0,69.0,30.0,INNOVACION,95,95,posicion_rack,1.0
010-069-40,[5],1,"['182011', '49007', '49008']",3,EU,EU,7.0,10.0,69.0,40.0,SAN MIGUEL,5,5,posicion_rack,1.0
010-070-00,[76],1,['34073'],1,suelo_250,S,1.0,10.0,70.0,0.0,UNIDAD INTERNACIONAL MARKETING,76,76,posicion_suelo,1.0
010-070-10,"[3, 76]",2,"['127034', '142122', '143144', '151155', '186149', '191071', '192056', '42125', '42126', '42127', '42128', '42133', '84050', '86170', '89083']",15,EU,EU,66.0,10.0,70.0,10.0,NOMBRE,,sin_asignacion_segura,posicion_rack,1.0
010-070-20,[3],1,"['102229', '102727', '103207', '103208', '113066', '113069', '133155', '148034', '161173', '179030', '52000', '54126', '74038', '74039', '74059', '81154', '85025', '86138', '89083', '89106']",20,EU,EU,398.0,10.0,70.0,20.0,NOMBRE,3,3,posicion_rack,1.0
010-070-30,[4],1,"['123090', '125145', '146103', '19010', '42090', '51183', '53015', '89022']",8,EU,EU,34.0,10.0,70.0,30.0,NOMBRE,4,4,posicion_rack,1.0
010-070-40,[4],1,"['102248', '102249', '143121', '143122', '143123', '143124', '143125', '42116']",8,EU,EU,1566.0,10.0,70.0,40.0,NOMBRE,4,4,posicion_rack,1.0
010-071-01,[14],1,['83118'],1,balda_9h,BD,50.0,10.0,71.0,1.0,FUNDACION MAHOU SAN MIGUEL,14,14,subhueco_balda,0.1111111111111111
010-071-02,[14],1,['65054'],1,balda_9h,BD,10.0,10.0,71.0,2.0,FUNDACION MAHOU SAN MIGUEL,14,14,subhueco_balda,0.1111111111111111
010-071-03,[14],1,['129078'],1,balda_9h,BD,20.0,10.0,71.0,3.0,FUNDACION MAHOU SAN MIGUEL,14,14,subhueco_balda,0.1111111111111111
010-071-04,[14],1,['106032'],1,balda_9h,BD,100.0,10.0,71.0,4.0,FUNDACION MAHOU SAN MIGUEL,14,14,subhueco_balda,0.1111111111111111
010-071-05,[14],1,['109018'],1,balda_9h,BD,4.0,10.0,71.0,5.0,FUNDACION MAHOU SAN MIGUEL,14,14,subhueco_balda,0.1111111111111111
010-071-06,[14],1,['161175'],1,balda_9h,BD,5.0,10.0,71.0,6.0,FUNDACION MAHOU SAN MIGUEL,14,14,subhueco_balda,0.1111111111111111
010-071-07,[14],1,['131117'],1,balda_9h,BD,8.0,10.0,71.0,7.0,FUNDACION MAHOU SAN MIGUEL,14,14,subhueco_balda,0.1111111111111111
010-071-08,[3],1,['102589'],1,balda_9h,BD,64.0,10.0,71.0,8.0,ALHAMBRA,3,3,subhueco_balda,0.1111111111111111
010-071-09,[14],1,['102156'],1,balda_9h,BD,65.0,10.0,71.0,9.0,FUNDACION MAHOU SAN MIGUEL,14,14,subhueco_balda,0.1111111111111111
010-071-10,[29],1,"['102654', '102655', '103272', '103273', '103346', '103347', '103348', '109207', '112051', '132086', '133235', '83160', '87066']",13,EU,EU,330.0,10.0,71.0,10.0,NOMBRE,29,29,posicion_rack,1.0
010-071-20,[95],1,"['102195', '31037']",2,EU,EU,30.0,10.0,71.0,20.0,INNOVACION,95,95,posicion_rack,1.0
010-071-30,[96],1,"['106319', '112052', '119002', '129123', '129129', '129130', '187088', '187131', '187200', '187201', '187202', '191068', '191069', '191070', '33054', '42117', '42118']",17,EU,EU,333.0,10.0,71.0,30.0,NOMBRE,96,96,posicion_rack,1.0
010-071-40,[5],1,"['124254', '152024', '192047', '22036', '41043', '54047', '54048', '54125', '86170']",9,EU,EU,36.0,10.0,71.0,40.0,NOMBRE,5,5,posicion_rack,1.0
010-072-00,[3],1,['173005'],1,suelo_250,S,2.0,10.0,72.0,0.0,ALHAMBRA,3,3,posicion_suelo,1.0
010-072-10,[4],1,"['109046', '114024', '114025', '131173', '141191', '141192', '141193', '172212', '172217']",9,EU,EU,20.0,10.0,72.0,10.0,NOMBRE,4,4,posicion_rack,1.0
010-072-20,[5],1,"['102736', '102737', '103596', '103597', '106349', '123111', '129136', '129137', '133225', '147046', '192049', '192050', '209046', '42103', '51393', '51394', '86191']",17,EU,EU,276.0,10.0,72.0,20.0,NOMBRE,5,5,posicion_rack,1.0
010-072-30,[5],1,"['102172', '103050', '108022', '121039', '142028', '44006', '51185', '51284', '51285', '51287', '51288', '51289', '51290', '51346', '51347', '51348', '51351']",17,EU,EU,275.0,10.0,72.0,30.0,NOMBRE,5,5,posicion_rack,1.0
010-072-40,[3],1,"['122189', '149043', '152074', '152164', '152165', '152166', '172225', '174069', '174150', '52019', '53015', '54123', '86114']",13,EU,EU,275.0,10.0,72.0,40.0,NOMBRE,3,3,posicion_rack,1.0
010-073-10,[89],1,"['102226', '102227', '103203', '103204', '103205', '106317', '106318', '112025', '113015', '113070', '123052', '126113', '128052', '162042', '189015', '36037', '43015', '59015', '64019', '86146']",20,EU,EU,163.0,10.0,73.0,10.0,NOMBRE,89,89,posicion_rack,1.0
010-073-20,[61],1,"['121001', '131192', '131206', '146023']",4,EU,EU,468.0,10.0,73.0,20.0,NOMBRE,61,61,posicion_rack,1.0
010-073-30,[77],1,"['121056', '126059', '129001', '133232', '152159', '169003', '83123', '84031', '84448']",9,EU,EU,61.0,10.0,73.0,30.0,NOMBRE,77,77,posicion_rack,1.0
010-073-40,[14],1,"['102021', '103017', '103018', '104015', '122025', '128006', '141175', '144035', '161015', '161021', '163013', '169003', '53017', '71159', '81028']",15,EU,EU,344.0,10.0,73.0,40.0,NOMBRE,14,14,posicion_rack,1.0
010-074-00,[5],1,['128246'],1,suelo_250,S,1.0,10.0,74.0,0.0,SAN MIGUEL,5,5,posicion_suelo,1.0
010-074-10,[3],1,"['142024', '152191', '161194', '53023', '84107', '86153']",6,EU,EU,181.0,10.0,74.0,10.0,NOMBRE,3,3,posicion_rack,1.0
010-074-20,[64],1,"['132084', '152114', '42057', '42062', '42064', '42066', '42068', '42071', '42073', '84052']",10,EU,EU,25.0,10.0,74.0,20.0,NOMBRE,64,64,posicion_rack,1.0
010-074-30,[3],1,"['101632', '122060', '124288', '127054', '129139', '144078', '149052', '172191', '176006', '184147', '184258', '49052', '54107', '84002', '85052', '85053', '86007', '87052', '89122']",19,EU,EU,189.0,10.0,74.0,30.0,NOMBRE,3,3,posicion_rack,1.0
010-074-40,[4],1,"['109081', '113019', '123106', '133158', '146028', '169004', '172213', '18100', '181227', '181228', '181229', '42051', '42114', '42123', '86095']",15,EU,EU,240.0,10.0,74.0,40.0,NOMBRE,4,4,posicion_rack,1.0
010-075-10,[71],1,"['102578', '106311', '108034', '124239']",4,EU,EU,38.0,10.0,75.0,10.0,BUDWEISER,71,71,posicion_rack,1.0
010-075-20,[96],1,"['121070', '121071', '121072', '125136', '187254', '187255', '39000']",7,EU,EU,1593.0,10.0,75.0,20.0,NOMBRE,96,96,posicion_rack,1.0
010-075-30,[5],1,"['133117', '133118', '142125', '163044', '33008', '33009', '54121', '87047']",8,EU,EU,50.0,10.0,75.0,30.0,NOMBRE,5,5,posicion_rack,1.0
