ubicacion,owners,owner_count,articles,article_count,tipologia,width_mode,stock_pal_total,pasillo,columna,altura,denominacion_propietario,assigned_owner,owner_bucket,unit_resultante,eu_equivalente_factor
007-084-40,[24],1,['22027'],1,AM,AM,20.0,7.0,84.0,40.0,MCC MADRID,24,24,posicion_rack,1.5
007-085-00,[24],1,['203007'],1,suelo_estandar,S,28.0,7.0,85.0,0.0,MCC MADRID,24,24,posicion_suelo,1.0
007-085-30,[24],1,['22014'],1,AM,AM,6.0,7.0,85.0,30.0,MCC MADRID,24,24,posicion_rack,1.5
007-085-40,[24],1,['31091'],1,AM,AM,20.0,7.0,85.0,40.0,MCC MADRID,24,24,posicion_rack,1.5
007-086-30,[24],1,['31034'],1,AM,AM,22.0,7.0,86.0,30.0,MCC MADRID,24,24,posicion_rack,1.5
007-086-40,[24],1,['31047'],1,AM,AM,26.0,7.0,86.0,40.0,MCC MADRID,24,24,posicion_rack,1.5
007-088-00,[23],1,['92068'],1,suelo_estandar,S,1.0,7.0,88.0,0.0,MAHOU-MARKETING OCIO,23,23,posicion_suelo,1.0
007-089-30,[3],1,['205202'],1,AM,AM,6.0,7.0,89.0,30.0,ALHAMBRA,3,3,posicion_rack,1.5
007-089-40,[24],1,['22014'],1,AM,AM,13.0,7.0,89.0,40.0,MCC MADRID,24,24,posicion_rack,1.5
007-090-30,[24],1,['31045'],1,EU,EU,20.0,7.0,90.0,30.0,MCC MADRID,24,24,posicion_rack,1.0
007-090-40,[24],1,['31105'],1,AM,AM,26.0,7.0,90.0,40.0,MCC MADRID,24,24,posicion_rack,1.5
007-091-30,[24],1,['31004'],1,AM,AM,20.0,7.0,91.0,30.0,MCC MADRID,24,24,posicion_rack,1.5
007-091-40,[24],1,['31004'],1,AM,AM,20.0,7.0,91.0,40.0,MCC MADRID,24,24,posicion_rack,1.5
007-092-30,[24],1,['31099'],1,EU,EU,20.0,7.0,92.0,30.0,MCC MADRID,24,24,posicion_rack,1.0
007-092-40,[24],1,['31047'],1,AM,AM,24.0,7.0,92.0,40.0,MCC MADRID,24,24,posicion_rack,1.5
007-093-00,[29],1,['203070'],1,suelo_estandar,S,1.0,7.0,93.0,0.0,MAHOU FUTBOL,29,29,posicion_suelo,1.0
007-095-30,[24],1,['31045'],1,AM,AM,20.0,7.0,95.0,30.0,MCC MADRID,24,24,posicion_rack,1.5
007-096-30,[5],1,['209021'],1,AM,AM,1.0,7.0,96.0,30.0,SAN MIGUEL,5,5,posicion_rack,1.5
007-096-40,[24],1,['31105'],1,AM,AM,26.0,7.0,96.0,40.0,MCC MADRID,24,24,posicion_rack,1.5
007-097-30,[24],1,['31019'],1,AM,AM,20.0,7.0,97.0,30.0,MCC MADRID,24,24,posicion_rack,1.5
007-097-40,[24],1,['31047'],1,AM,AM,26.0,7.0,97.0,40.0,MCC MADRID,24,24,posicion_rack,1.5
007-098-00,[5],1,['203060'],1,suelo_estandar,S,9.0,7.0,98.0,0.0,SAN MIGUEL,5,5,posicion_suelo,1.0
007-098-30,[24],1,['31099'],1,AM,AM,19.0,7.0,98.0,30.0,MCC MADRID,24,24,posicion_rack,1.5
007-098-40,[24],1,['31011'],1,AM,AM,24.0,7.0,98.0,40.0,MCC MADRID,24,24,posicion_rack,1.5
007-101-30,[24],1,['31034'],1,AM,AM,22.0,7.0,101.0,30.0,MCC MADRID,24,24,posicion_rack,1.5
007-101-40,[24],1,['31004'],1,AM,AM,20.0,7.0,101.0,40.0,MCC MADRID,24,24,posicion_rack,1.5
007-102-30,[24],1,['31099'],1,AM,AM,25.0,7.0,102.0,30.0,MCC MADRID,24,24,posicion_rack,1.5
007-102-40,[24],1,['31031'],1,AM,AM,27.0,7.0,102.0,40.0,MCC MADRID,24,24,posicion_rack,1.5
007-103-30,[24],1,['31045'],1,AM,AM,24.0,7.0,103.0,30.0,MCC MADRID,24,24,posicion_rack,1.5
007-103-40,[24],1,['31004'],1,AM,AM,20.0,7.0,103.0,40.0,MCC MADRID,24,24,posicion_rack,1.5
007-104-30,[24],1,['31045'],1,AM,AM,24.0,7.0,104.0,30.0,MCC MADRID,24,24,posicion_rack,1.5
007-104-40,[24],1,['22014'],1,AM,AM,10.0,7.0,104.0,40.0,MCC MADRID,24,24,posicion_rack,1.5
007-107-30,[24],1,['31034'],1,AM,AM,22.0,7.0,107.0,30.0,MCC MADRID,24,24,posicion_rack,1.5
007-107-40,[24],1,['31004'],1,AM,AM,20.0,7.0,107.0,40.0,MCC MADRID,24,24,posicion_rack,1.5
007-108-30,[24],1,['31011'],1,AM,AM,19.0,7.0,108.0,30.0,MCC MADRID,24,24,posicion_rack,1.5
007-108-40,[24],1,['22014'],1,AM,AM,20.0,7.0,108.0,40.0,MCC MADRID,24,24,posicion_rack,1.5
007-109-30,[98],1,['139014'],1,AM,AM,12.0,7.0,109.0,30.0,MAHOU CANAL,98,98,posicion_rack,1.5
007-109-40,[98],1,['139014'],1,AM,AM,12.0,7.0,109.0,40.0,MAHOU CANAL,98,98,posicion_rack,1.5
007-110-30,[24],1,['31099'],1,AM,AM,30.0,7.0,110.0,30.0,MCC MADRID,24,24,posicion_rack,1.5
007-110-40,[24],1,['31105'],1,AM,AM,26.0,7.0,110.0,40.0,MCC MADRID,24,24,posicion_rack,1.5
007-113-30,[98],1,['139014'],1,AM,AM,12.0,7.0,113.0,30.0,MAHOU CANAL,98,98,posicion_rack,1.5
007-113-40,[98],1,['139014'],1,AM,AM,12.0,7.0,113.0,40.0,MAHOU CANAL,98,98,posicion_rack,1.5
007-114-30,[24],1,['31105'],1,AM,AM,26.0,7.0,114.0,30.0,MCC MADRID,24,24,posicion_rack,1.5
007-114-40,[24],1,['22014'],1,AM,AM,20.0,7.0,114.0,40.0,MCC MADRID,24,24,posicion_rack,1.5
007-115-30,[98],1,['139014'],1,AM,AM,12.0,7.0,115.0,30.0,MAHOU CANAL,98,98,posicion_rack,1.5
007-115-40,[98],1,['139014'],1,AM,AM,12.0,7.0,115.0,40.0,MAHOU CANAL,98,98,posicion_rack,1.5
007-116-30,[24],1,['31105'],1,AM,AM,26.0,7.0,116.0,30.0,MCC MADRID,24,24,posicion_rack,1.5
007-116-40,[24],1,['31047'],1,AM,AM,26.0,7.0,116.0,40.0,MCC MADRID,24,24,posicion_rack,1.5
007-119-30,[98],1,['139014'],1,AM,AM,12.0,7.0,119.0,30.0,MAHOU CANAL,98,98,posicion_rack,1.5
