art,reserva,owner_base,uds,adr,qcnt,capa_conversion,factor_conversion_usado,tipologia_estimacion,unidad_resultante,posiciones_estimadas,soporte,estado_conversion,eu_equivalente,modulos_3eu,penaliza_altura_10,impacto_10
*MULTI*,,sin_asignacion_segura,1,AV10306,1,C,,revision_manual,revision_manual,,revision_manual_sin_dimensiones; owner=sin_match,revision_manual,,,False,0.0
98581,61,61,4,AZ02300,4,C,,revision_manual,revision_manual,,revision_manual_sin_dimensiones; owner=prefijo_RESERVA,revision_manual,,,False,0.0
83022,7,7,2680,AV08807,1,C,12.0,balda_9h,subhueco_balda,223.33333333333334,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA,inferido,24.814814814814813,8.271604938271606,False,0.0
91152,71,71,1,AZ01304,1,B,1.0,EU,posicion_rack,1.0,match_articulo; owner=prefijo_RESERVA,soportado,1.0,0.3333333333333333,False,0.0
98069,77,77,3,AJ10203,3,C,,revision_manual,revision_manual,,revision_manual_sin_dimensiones; owner=prefijo_RESERVA,revision_manual,,,False,0.0
86013,7,7,360,BC11902,1,B,284.0,EU,posicion_rack,1.267605633802817,match_articulo; owner=prefijo_RESERVA,soportado,1.267605633802817,0.4225352112676057,False,0.0
186018,33,33,192,BB13701,192,C,12.0,balda_9h,subhueco_balda,16.0,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA,inferido,1.7777777777777777,0.5925925925925926,False,0.0
124264,29,29,30,AJ08801,1,C,12.0,balda_9h,subhueco_balda,2.5,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA,inferido,0.2777777777777778,0.09259259259259259,False,0.0
14026,64,64,24,AV007A0,1,B,24.0,balda_9h,subhueco_balda,1.0,match_articulo; owner=prefijo_RESERVA,soportado,0.1111111111111111,0.037037037037037035,False,0.0
98014,14 VOLUNTARIA,14,18,BA02801,18,C,,revision_manual,revision_manual,,revision_manual_sin_dimensiones; owner=prefijo_RESERVA,revision_manual,,,False,0.0
51087,23 KIT,23,1,B03,1,A,1.0,suelo_estandar,posicion_suelo,1.0,match_articulo_propietario; owner=prefijo_RESERVA,soportado,1.0,0.3333333333333333,False,0.0
132059,29,29,4,AK14206,4,C,12.0,balda_9h,subhueco_balda,0.3333333333333333,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA,inferido,0.037037037037037035,0.012345679012345678,False,0.0
91100,71,71,1,AZ07601,1,C,2.0,suelo_126,posicion_suelo,0.5,dimensión <= 126 cm; owner=prefijo_RESERVA,inferido,0.5,0.16666666666666666,False,0.0
114021,32,32,747,BF09405,1,C,12.0,balda_9h,subhueco_balda,62.25,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA,inferido,6.916666666666666,2.3055555555555554,False,0.0
103034,14 VOLUNTARIA,14,17,BA02801,17,A,26.0,balda_9h,subhueco_balda,0.6538461538461539,match_articulo_propietario; owner=prefijo_RESERVA,soportado,0.07264957264957264,0.02421652421652422,False,0.0
98213,64,64,420,AZ08105,1,C,,revision_manual,revision_manual,,revision_manual_sin_dimensiones; owner=prefijo_RESERVA,revision_manual,,,False,0.0
991073,23,23,1194,98,1,C,12.0,balda_9h,subhueco_balda,99.5,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA,inferido,11.055555555555555,3.685185185185185,False,0.0
161101,29,29,2,AJ13602,1,C,2.0,suelo_126,posicion_suelo,1.0,dimensión <= 126 cm; owner=prefijo_RESERVA,inferido,1.0,0.3333333333333333,False,0.0
42069,64,64,1,AJ09507,1,C,12.0,balda_9h,subhueco_balda,0.08333333333333333,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA,inferido,0.009259259259259259,0.0030864197530864196,False,0.0
11024,61,61,72,AJ07506,3,B,599.0,EU,posicion_rack,0.12020033388981637,match_articulo; owner=prefijo_RESERVA,soportado,0.12020033388981637,0.04006677796327212,False,0.0
91138,64,64,1,BA12203,1,C,2.0,suelo_126,posicion_suelo,0.5,dimensión <= 126 cm; owner=prefijo_RESERVA,inferido,0.5,0.16666666666666666,False,0.0
42065,64,64,9,AZ11801,9,B,1.0,EU,posicion_rack,9.0,match_articulo; owner=prefijo_RESERVA,soportado,9.0,3.0,False,0.0
22150,7  CAMION119,7,1,AV11801,1,C,2.0,suelo_126,posicion_suelo,0.5,dimensión <= 126 cm; owner=prefijo_RESERVA,inferido,0.5,0.16666666666666666,False,0.0
126004,33,33,354,BB13701,354,C,12.0,balda_9h,subhueco_balda,29.5,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA,inferido,3.2777777777777777,1.0925925925925926,False,0.0
32099,7,7,16,BB00801,1,B,2.0,EU,posicion_rack,8.0,match_articulo; owner=prefijo_RESERVA,soportado,8.0,2.6666666666666665,False,0.0
991124,33,33,102,TJ07501,1,C,12.0,balda_9h,subhueco_balda,8.5,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA,inferido,0.9444444444444444,0.3148148148148148,False,0.0
18059,77,77,264,AJ10004,1,B,12.0,EU,posicion_rack,22.0,match_articulo; owner=prefijo_RESERVA,soportado,22.0,7.333333333333333,False,0.0
98758,64,64,6,BA02103,1,C,,revision_manual,revision_manual,,revision_manual_sin_dimensiones; owner=prefijo_RESERVA,revision_manual,,,False,0.0
63001,77,77,36,AV10303,1,B,744.0,EU,posicion_rack,0.04838709677419355,match_articulo; owner=prefijo_RESERVA,soportado,0.04838709677419355,0.016129032258064516,False,0.0
23030,32,32,4,BB03702,1,C,2.0,suelo_126,posicion_suelo,2.0,dimensión <= 126 cm; owner=prefijo_RESERVA,inferido,2.0,0.6666666666666666,False,0.0
34050,64,64,1,BC08302,1,C,16.0,AM,posicion_rack,0.0625,dimensión compatible con AM; owner=prefijo_RESERVA,inferido,0.09375,0.03125,False,0.0
31003,29,29,24,BB00902,1,B,24.0,AM,posicion_rack,1.0,match_articulo; owner=prefijo_RESERVA,soportado,1.5,0.5,False,0.0
98349,29,29,20,TJ07503,1,C,,revision_manual,revision_manual,,revision_manual_sin_dimensiones; owner=prefijo_RESERVA,revision_manual,,,False,0.0
121033,32,32,27,AZ08905,27,C,12.0,balda_9h,subhueco_balda,2.25,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA,inferido,0.25,0.08333333333333333,False,0.0
34066,29 BLOQUEADO SM,29,1,BB03304,1,C,16.0,AM,posicion_rack,0.0625,dimensión compatible con AM; owner=prefijo_RESERVA,inferido,0.09375,0.03125,False,0.0
81155,64,64,1,AZ11801,1,C,12.0,balda_9h,subhueco_balda,0.08333333333333333,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA,inferido,0.009259259259259259,0.0030864197530864196,False,0.0
98582,61,61,5,AT14704,5,C,,revision_manual,revision_manual,,revision_manual_sin_dimensiones; owner=prefijo_RESERVA,revision_manual,,,False,0.0
51231,71,71,1,AQ06404,1,C,1.0,suelo_250,posicion_suelo,1.0,dimensión >= 190 cm o categoría exterior; owner=prefijo_RESERVA,inferido,1.0,0.3333333333333333,True,1.0
23030,32,32,2,AV04803,1,C,2.0,suelo_126,posicion_suelo,1.0,dimensión <= 126 cm; owner=prefijo_RESERVA,inferido,1.0,0.3333333333333333,False,0.0
11127,33,33,864,AZ03504,1,B,192.0,EU,posicion_rack,4.5,match_articulo; owner=prefijo_RESERVA,soportado,4.5,1.5,False,0.0
102185,14 VOLUNTARIA,14,13,BA02801,13,A,80.0,balda_9h,subhueco_balda,0.1625,match_articulo_propietario; owner=prefijo_RESERVA,soportado,0.018055555555555554,0.0060185185185185185,False,0.0
124259,33,33,16,AZ09205,1,C,12.0,balda_9h,subhueco_balda,1.3333333333333333,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA,inferido,0.14814814814814814,0.04938271604938271,False,0.0
172057,7,7,56,BA00204,1,B,43.0,EU,posicion_rack,1.302325581395349,match_articulo; owner=prefijo_RESERVA,soportado,1.302325581395349,0.434108527131783,False,0.0
