ubicacion,owner,article,tipologia,width,stock_pal_total,pallet_rows,denominacion,pasillo,columna,altura,denominacion_propietario
007-005-00,34,202022,suelo_250,EU,3.0,1,SOMBRILLA BEIGE 1890 MAHOU (EVENTOS),7.0,5.0,0.0,NOMBRE
007-005-40,24,31099,AM,AM,24.0,1,SILLA TERRAZA IRRADIACION BEIGE MAHOU,7.0,5.0,40.0,MCC MADRID
007-006-10,5,209034,AM,AM,7.0,1,CAJA DE BOLAS VERDE,7.0,6.0,10.0,SAN MIGUEL
007-006-30,3,31171,EU,EU,26.0,1,SILLA BRIEL ALHAMBRA,7.0,6.0,30.0,ALHAMBRA
007-006-40,24,31047,EU,EU,26.0,1,SILLA PLASTICO MARRON DESDE 1890 MAHOU,7.0,6.0,40.0,MCC MADRID
007-007-40,24,31004,AM,AM,12.0,1,SILLA TERRAZA ROJA LAMAS MAHOU,7.0,7.0,40.0,MCC MADRID
007-008-00,34,202010,suelo_250,EU,1.0,1,SOMBRILLA ECO BEIGE HOJA DESDE1890MAHOU,7.0,8.0,0.0,NOMBRE
007-008-00,34,96036,suelo_250,EU,1.0,1,SEPARADOR MADERA SAN MIGUEL PLVKAM23(*),7.0,8.0,0.0,NOMBRE
007-008-00,34,96037,suelo_250,EU,4.0,1,SEPARADOR MAHOU 2022 PLVKAM23(*),7.0,8.0,0.0,NOMBRE
007-008-10,5,209021,EU,EU,5.0,1,CAJA DE BOLAS BLANCA PISCINA,7.0,8.0,10.0,SAN MIGUEL
007-008-30,3,31171,EU,EU,26.0,1,SILLA BRIEL ALHAMBRA,7.0,8.0,30.0,ALHAMBRA
007-008-40,3,31171,EU,EU,32.0,1,SILLA BRIEL ALHAMBRA,7.0,8.0,40.0,ALHAMBRA
007-011-00,5,174037,suelo_250,AM,1.0,1,"TOTEM MADERA 1,4 m MAGNA  SAN MIGUEL",7.0,11.0,0.0,SAN MIGUEL
007-011-30,24,31093,AM,AM,32.0,1,SILLA GRIS BUDWEISER,7.0,11.0,30.0,MCC MADRID
007-011-40,24,31004,AM,AM,20.0,1,SILLA TERRAZA ROJA LAMAS MAHOU,7.0,11.0,40.0,MCC MADRID
007-012-20,3,91184,EU,EU,3.0,1,BARRA PARA BOTELLERO AZULEJOS VERDE JARD,7.0,12.0,20.0,ALHAMBRA
007-012-30,3,31171,EU,EU,26.0,1,SILLA BRIEL ALHAMBRA,7.0,12.0,30.0,ALHAMBRA
007-012-40,24,22155,EU,EU,17.0,1,MESA MADERA PINO BUDWEISER 2 LOGOS,7.0,12.0,40.0,MCC MADRID
007-013-30,24,31045,AM,AM,24.0,1,SILLA TERRAZA MARRON MAHOU IRRADIACION,7.0,13.0,30.0,MCC MADRID
007-013-40,24,31045,AM,AM,24.0,1,SILLA TERRAZA MARRON MAHOU IRRADIACION,7.0,13.0,40.0,MCC MADRID
007-014-10,23,167001,EU,EU,4.0,1,BOTELLERO MARRON DESDE 1890  MAHOU,7.0,14.0,10.0,MAHOU-MARKETING OCIO
007-014-20,23,23080,EU,EU,2.0,1,MESA TARNO ROJA RECTANGULAR MAHOU,7.0,14.0,20.0,MAHOU-MARKETING OCIO
007-014-30,3,31171,EU,EU,26.0,1,SILLA BRIEL ALHAMBRA,7.0,14.0,30.0,ALHAMBRA
007-014-40,24,31105,EU,EU,24.0,1,SILLA PLASTICO SINCE 1890 SAN MIGUEL,7.0,14.0,40.0,MCC MADRID
007-015-00,4,51332,suelo_250,S,1.0,1,LUMINOSO CON ESTRUCTURA METALICA TIENES,7.0,15.0,0.0,SOLAN
007-016-00,3,152193,suelo_250,AM,1.0,1,ESPEJO INFINITO,7.0,16.0,0.0,ALHAMBRA
007-017-00,64,51257,suelo_250,AM,1.0,1,"LUMINOSO LETRAS ""CERO"" BOMBILLAS",7.0,17.0,0.0,NOMBRE
007-017-30,24,31045,AM,AM,20.0,1,SILLA TERRAZA MARRON MAHOU IRRADIACION,7.0,17.0,30.0,MCC MADRID
007-017-40,24,31045,AM,AM,24.0,1,SILLA TERRAZA MARRON MAHOU IRRADIACION,7.0,17.0,40.0,MCC MADRID
007-018-30,4,133215,EU,EU,385.0,1,BOTELLA TERMICA AZUL SOLAN OPEN 2025 (BO,7.0,18.0,30.0,SOLAN
007-018-40,24,31105,EU,EU,24.0,1,SILLA PLASTICO SINCE 1890 SAN MIGUEL,7.0,18.0,40.0,MCC MADRID
007-019-30,24,31123,AM,AM,8.0,1,SILLA CHAPA  BLANCA STELLA ARTOIS,7.0,19.0,30.0,MCC MADRID
007-019-40,24,31045,AM,AM,20.0,1,SILLA TERRAZA MARRON MAHOU IRRADIACION,7.0,19.0,40.0,MCC MADRID
007-020-00,23,202075,suelo_250,S,1.0,1,SOMBRILLA BEIGE MAHOU 1890 MERCADO DE MO,7.0,20.0,0.0,MAHOU-MARKETING OCIO
007-020-10,3,91036,EU,EU,2.0,1,BARRA MADERA LOGO CERVEZAS ALHAMBRA,7.0,20.0,10.0,ALHAMBRA
007-020-30,4,133215,EU,EU,720.0,1,BOTELLA TERMICA AZUL SOLAN OPEN 2025 (BO,7.0,20.0,30.0,SOLAN
007-020-40,24,31047,EU,EU,22.0,1,SILLA PLASTICO MARRON DESDE 1890 MAHOU,7.0,20.0,40.0,MCC MADRID
007-022-00,24,31045,suelo_250,S,11.0,1,SILLA TERRAZA MARRON MAHOU IRRADIACION,7.0,22.0,0.0,MCC MADRID
007-023-30,24,31034,AM,AM,22.0,1,SILLA PLASTICO GRIS ALHAMBRA,7.0,23.0,30.0,MCC MADRID
007-023-40,24,31045,AM,AM,20.0,1,SILLA TERRAZA MARRON MAHOU IRRADIACION,7.0,23.0,40.0,MCC MADRID
007-024-10,82,31149,AM,AM,30.0,1,SILLON (SILLA) TEXTILENE BRUTUS NEGRA,7.0,24.0,10.0,BRUTUS DESARROLLO COMERCIAL
007-024-30,23,91016,AM,AM,1.0,1,BARRA MADERA/CHAPA 1M MAHOU,7.0,24.0,30.0,MAHOU-MARKETING OCIO
007-024-40,24,31105,AM,AM,26.0,1,SILLA PLASTICO SINCE 1890 SAN MIGUEL,7.0,24.0,40.0,MCC MADRID
007-025-00,23,174006,suelo_250,S,1.0,1,TOTEM ROJO MAHOU VINILICO (medidas vinil,7.0,25.0,0.0,MAHOU-MARKETING OCIO
007-025-30,24,31045,AM,AM,20.0,1,SILLA TERRAZA MARRON MAHOU IRRADIACION,7.0,25.0,30.0,MCC MADRID
007-025-40,14,31019,AM,AM,15.0,1,SILLA PLASTICO BLANCA PREMIUM MAHOU,7.0,25.0,40.0,FUNDACION MAHOU SAN MIGUEL
007-026-00,24,22043,suelo_250,AM,4.0,1,MESA BLANCA PATA MARRON TERRAZA MAHOU,7.0,26.0,0.0,MCC MADRID
007-026-10,82,31149,EU,EU,28.0,1,SILLON (SILLA) TEXTILENE BRUTUS NEGRA,7.0,26.0,10.0,BRUTUS DESARROLLO COMERCIAL
007-026-30,24,31004,AM,AM,16.0,1,SILLA TERRAZA ROJA LAMAS MAHOU,7.0,26.0,30.0,MCC MADRID
007-026-40,24,31105,EU,EU,26.0,1,SILLA PLASTICO SINCE 1890 SAN MIGUEL,7.0,26.0,40.0,MCC MADRID
007-028-00,24,31105,suelo_250,S,5.0,1,SILLA PLASTICO SINCE 1890 SAN MIGUEL,7.0,28.0,0.0,MCC MADRID
007-029-30,24,31034,AM,AM,22.0,1,SILLA PLASTICO GRIS ALHAMBRA,7.0,29.0,30.0,MCC MADRID
007-029-40,24,31045,AM,AM,20.0,1,SILLA TERRAZA MARRON MAHOU IRRADIACION,7.0,29.0,40.0,MCC MADRID
007-030-00,24,21205,suelo_250,AM,1.0,1,MESA REDONDA MADERA DON GIOVANNI,7.0,30.0,0.0,MCC MADRID
007-030-10,82,31149,EU,EU,30.0,1,SILLON (SILLA) TEXTILENE BRUTUS NEGRA,7.0,30.0,10.0,BRUTUS DESARROLLO COMERCIAL
007-030-30,24,31004,EU,EU,15.0,1,SILLA TERRAZA ROJA LAMAS MAHOU,7.0,30.0,30.0,MCC MADRID
007-030-40,24,31123,EU,EU,24.0,1,SILLA CHAPA  BLANCA STELLA ARTOIS,7.0,30.0,40.0,MCC MADRID
007-031-30,24,31045,AM,AM,24.0,1,SILLA TERRAZA MARRON MAHOU IRRADIACION,7.0,31.0,30.0,MCC MADRID
007-031-40,24,31045,AM,AM,18.0,1,SILLA TERRAZA MARRON MAHOU IRRADIACION,7.0,31.0,40.0,MCC MADRID
007-032-00,24,31047,suelo_250,AM,2.0,1,SILLA PLASTICO MARRON DESDE 1890 MAHOU,7.0,32.0,0.0,MCC MADRID
007-032-30,24,31091,EU,EU,18.0,1,SILLA TERRAZA LAMAS MARMOLADA MAHOU19,7.0,32.0,30.0,MCC MADRID
007-032-40,24,22014,EU,EU,20.0,1,MESA PLASTICO/METAL ROJA TERRAZA MAHOU,7.0,32.0,40.0,MCC MADRID
007-035-30,24,31045,AM,AM,20.0,1,SILLA TERRAZA MARRON MAHOU IRRADIACION,7.0,35.0,30.0,MCC MADRID
007-035-40,24,31031,AM,AM,26.0,1,SILLA PLASTICO BLANCA ALHAMBRA,7.0,35.0,40.0,MCC MADRID
007-036-10,82,31149,EU,EU,30.0,1,SILLON (SILLA) TEXTILENE BRUTUS NEGRA,7.0,36.0,10.0,BRUTUS DESARROLLO COMERCIAL
007-036-20,24,22096,AM,AM,5.0,1,MESA TERRAZA PATAS NEGRAS MAHOU 2018,7.0,36.0,20.0,MCC MADRID
007-036-30,24,31015,EU,EU,10.0,1,SILLA TERRAZA PLASTICO BLANCA ALHAMBRA,7.0,36.0,30.0,MCC MADRID
007-036-40,24,31061,EU,EU,26.0,1,SILLA TERRAZA BLANCA LOGO MAHOU 5*,7.0,36.0,40.0,MCC MADRID
