article,transaction_frequency,support,row_frequency,total_quantity,mean_quantity_per_tx,excluded_from_rules_flag
142118,1,4.693513564254201e-05,1,6,6.0,False
142116,1,4.693513564254201e-05,1,10,10.0,False
142114,1,4.693513564254201e-05,1,2,2.0,False
142061,1,4.693513564254201e-05,1,3,3.0,False
142050,1,4.693513564254201e-05,1,5,5.0,False
142048,1,4.693513564254201e-05,1,2,2.0,False
142047,1,4.693513564254201e-05,1,10,10.0,False
142045,1,4.693513564254201e-05,1,8,8.0,False
142034,1,4.693513564254201e-05,1,1,1.0,False
142032,1,4.693513564254201e-05,1,5,5.0,False
142031,1,4.693513564254201e-05,1,1,1.0,False
142027,1,4.693513564254201e-05,1,1,1.0,False
142026,1,4.693513564254201e-05,1,2,2.0,False
142025,1,4.693513564254201e-05,1,1,1.0,False
142024,1,4.693513564254201e-05,1,3,3.0,False
103266,1,4.693513564254201e-05,1,3,3.0,False
103261,1,4.693513564254201e-05,1,1,1.0,False
103260,1,4.693513564254201e-05,1,24,24.0,False
103259,1,4.693513564254201e-05,1,25,25.0,False
103249,1,4.693513564254201e-05,1,2,2.0,False
103244,1,4.693513564254201e-05,1,3,3.0,False
031130,1,4.693513564254201e-05,1,11,11.0,False
031129,1,4.693513564254201e-05,1,131,131.0,False
031128,1,4.693513564254201e-05,1,69,69.0,False
031127,1,4.693513564254201e-05,1,71,71.0,False
143007,1,4.693513564254201e-05,1,1,1.0,False
143006,1,4.693513564254201e-05,1,1,1.0,False
143004,1,4.693513564254201e-05,1,8,8.0,False
143003,1,4.693513564254201e-05,1,4,4.0,False
143002,1,4.693513564254201e-05,1,8,8.0,False
143000,1,4.693513564254201e-05,1,1,1.0,False
143008,1,4.693513564254201e-05,1,3,3.0,False
031146,1,4.693513564254201e-05,1,8,8.0,False
031144,1,4.693513564254201e-05,1,8,8.0,False
031142,1,4.693513564254201e-05,1,21,21.0,False
031137,1,4.693513564254201e-05,1,3,3.0,False
031136,1,4.693513564254201e-05,1,40,40.0,False
031133,1,4.693513564254201e-05,1,4,4.0,False
031131,1,4.693513564254201e-05,1,12,12.0,False
103282,1,4.693513564254201e-05,1,13,13.0,False
103281,1,4.693513564254201e-05,1,1,1.0,False
103277,1,4.693513564254201e-05,1,1,1.0,False
103273,1,4.693513564254201e-05,1,4,4.0,False
103272,1,4.693513564254201e-05,1,10,10.0,False
103271,1,4.693513564254201e-05,1,28,28.0,False
103270,1,4.693513564254201e-05,1,108,108.0,False
103269,1,4.693513564254201e-05,1,108,108.0,False
143052,1,4.693513564254201e-05,1,1,1.0,False
143047,1,4.693513564254201e-05,1,1,1.0,False
143045,1,4.693513564254201e-05,1,2,2.0,False
143043,1,4.693513564254201e-05,1,4,4.0,False
143038,1,4.693513564254201e-05,1,24,24.0,False
143036,1,4.693513564254201e-05,1,574,574.0,False
143034,1,4.693513564254201e-05,1,23,23.0,False
143030,1,4.693513564254201e-05,1,5,5.0,False
143029,1,4.693513564254201e-05,1,6,6.0,False
143027,1,4.693513564254201e-05,1,4,4.0,False
143026,1,4.693513564254201e-05,1,60,60.0,False
143024,1,4.693513564254201e-05,1,10,10.0,False
143014,1,4.693513564254201e-05,1,2,2.0,False
143013,1,4.693513564254201e-05,1,11,11.0,False
143012,1,4.693513564254201e-05,1,5,5.0,False
143011,1,4.693513564254201e-05,1,12,12.0,False
086128,1,4.693513564254201e-05,1,8,8.0,False
086127,1,4.693513564254201e-05,1,2,2.0,False
086123,1,4.693513564254201e-05,1,3,3.0,False
086122,1,4.693513564254201e-05,1,3,3.0,False
086121,1,4.693513564254201e-05,1,23,23.0,False
086117,1,4.693513564254201e-05,1,13,13.0,False
086116,1,4.693513564254201e-05,1,10,10.0,False
