owner,article,transaction_frequency,total_quantity
200,TPAZ618,1,720.0
200,TPAZ619,1,720.0
200,TPAZ620,1,720.0
200,TPAZ621,1,720.0
200,TPAZ622,1,720.0
200,TPAZ623,1,720.0
200,TPAZ625,1,720.0
200,TPAZ626,1,720.0
200,TPAZ627,1,720.0
200,TPAZ628,1,720.0
200,LPAZ275,1,710.0
200,TPA1899,1,675.0
200,TPA1900,1,675.0
200,TPA1901,1,675.0
200,TPA1902,1,675.0
200,TPA1903,1,675.0
200,TPA1904,1,675.0
200,TPA1906,1,675.0
200,TPA1907,1,675.0
200,TPA1908,1,675.0
200,TPA1910,1,675.0
200,TPA1911,1,675.0
200,TPA1912,1,675.0
200,TPA1914,1,675.0
200,TPA1915,1,675.0
200,TPA1916,1,675.0
200,TPA1917,1,675.0
200,TPA1918,1,675.0
200,TPA1173,1,670.0
200,LPAZ057,1,640.0
200,TPA1143,1,640.0
200,TPA1144,1,640.0
200,TPA1145,1,640.0
200,TPA1146,1,640.0
200,TPA1148,1,640.0
200,TPA1149,1,640.0
200,LPAZ062,1,630.0
200,PAZ372B,1,624.0
200,LPAZ072,1,600.0
200,PAZP153,1,600.0
200,TPA1329,1,600.0
200,TPA1330,1,600.0
200,LPAZ002,1,576.0
200,LPAZ003,1,576.0
200,LPAZ113,1,576.0
200,LPAZ114,1,576.0
200,LPAZ115,1,576.0
200,LPAZ118,1,576.0
200,HPAZP14,1,560.0
200,HPAZP15,1,560.0
200,TPA1150,1,560.0
200,TPA1151,1,560.0
200,LPAZ015,1,548.0
200,HPAZP10,1,540.0
200,LPAZ106,1,528.0
200,LPAZ107,1,528.0
200,LPAZ108,1,528.0
200,LPAZ109,1,528.0
200,LPAZ110,1,528.0
200,LPAZ111,1,528.0
200,TPAZ629,1,502.0
200,LPAZ001,1,500.0
200,LPAZ024,1,500.0
200,LPAZ083,1,500.0
200,LPAZ084,1,500.0
200,LPAZ085,1,500.0
200,LPAZ086,1,500.0
200,LPAZ087,1,500.0
200,LPAZ088,1,500.0
200,LPAZ089,1,500.0
200,LPAZ105,1,500.0
200,LPAZ223,1,500.0
200,PAZP206,1,500.0
200,LPAZ243,1,495.0
200,TPA1152,1,495.0
200,LPAZ016,1,480.0
200,LPAZ017,1,480.0
200,LPAZ021,1,480.0
200,LPAZ022,1,480.0
200,LPAZ055,1,480.0
200,LPAZ148,1,480.0
200,LPAZ185,1,480.0
200,LPAZ187,1,480.0
200,LPAZ188,1,480.0
200,LPAZ189,1,480.0
200,LPAZ191,1,480.0
200,LPAZ192,1,480.0
200,PAZP101,1,480.0
200,PAZP102,1,480.0
200,PAZP103,1,480.0
200,PAZP104,1,480.0
200,PAZP105,1,480.0
200,PAZP106,1,480.0
200,PAZP107,1,480.0
200,PAZP108,1,480.0
200,PAZP154,1,480.0
200,PAZP155,1,480.0
200,PAZP157,1,480.0
200,PAZP158,1,480.0
200,PAZP159,1,480.0
200,PAZP160,1,480.0
200,PAZP161,1,480.0
200,PAZP163,1,480.0
200,PAZP202,1,480.0
200,PAZP203,1,480.0
200,PAZP204,1,480.0
200,PAZP205,1,480.0
200,PAZP210,1,480.0
200,PAZP211,1,480.0
200,PAZP212,1,480.0
200,PAZP213,1,480.0
200,PAZP214,1,480.0
200,PAZP215,1,480.0
200,PAZP216,1,480.0
200,PAZP217,1,480.0
200,TPA1153,1,480.0
200,TPA1154,1,480.0
200,TPA1155,1,480.0
200,TPA1156,1,480.0
200,TPA1157,1,480.0
200,TPA1158,1,480.0
200,TPA1159,1,480.0
200,TPA1160,1,480.0
200,LPAZ013,1,456.0
200,LPAZ067,1,450.0
200,LPAZ193,1,450.0
200,PAZP222,1,450.0
200,LPAZ012,1,440.0
200,LPAZ014,1,440.0
200,LPAZ388,1,425.0
200,LPAZ389,1,425.0
200,LPAZ390,1,425.0
200,LPAZ391,1,425.0
200,LPAZ392,1,425.0
200,LPAZ393,1,425.0
200,LPAZ394,1,425.0
200,LPAZ395,1,425.0
200,LPAZ396,1,425.0
200,LPAZ397,1,425.0
200,LPAZ377,1,420.0
200,LPAZ371,1,412.0
200,HPAZP1,1,400.0
200,LPAZ026,1,400.0
200,LPAZ027,1,400.0
200,PAZP162,1,400.0
200,PAZP221,1,400.0
200,LPAZ025,1,396.0
200,LPAZ020,1,393.0
