antecedent,consequent,support,antecedent_support,consequent_support,confidence,lift,leverage,conviction,npmi,shared_transactions
127004,063002,0.000281610813855252,0.00032854594949779405,0.000281610813855252,0.8571428571428571,3043.714285714286,0.0002815182917630251,6.998028724303011,0.981143612051366,6
071000,071003,0.000281610813855252,0.00032854594949779405,0.000281610813855252,0.8571428571428571,3043.714285714286,0.0002815182917630251,6.998028724303011,0.981143612051366,6
127004,071003,0.000281610813855252,0.00032854594949779405,0.000281610813855252,0.8571428571428571,3043.714285714286,0.0002815182917630251,6.998028724303011,0.981143612051366,6
102679,102681,0.000281610813855252,0.00032854594949779405,0.000281610813855252,0.8571428571428571,3043.714285714286,0.0002815182917630251,6.998028724303011,0.981143612051366,6
018065,018064,0.00023467567821271003,0.00032854594949779405,0.00023467567821271003,0.7142857142857143,3043.714285714286,0.0002345985764691876,3.4991786351262557,0.959739151227881,5
203014,203009,0.00023467567821271003,0.00032854594949779405,0.00023467567821271003,0.7142857142857143,3043.714285714286,0.0002345985764691876,3.4991786351262557,0.959739151227881,5
203014,203010,0.00023467567821271003,0.00032854594949779405,0.00023467567821271003,0.7142857142857143,3043.714285714286,0.0002345985764691876,3.4991786351262557,0.959739151227881,5
203014,203013,0.00023467567821271003,0.00032854594949779405,0.00023467567821271003,0.7142857142857143,3043.714285714286,0.0002345985764691876,3.4991786351262557,0.959739151227881,5
203014,203016,0.00023467567821271003,0.00032854594949779405,0.00023467567821271003,0.7142857142857143,3043.714285714286,0.0002345985764691876,3.4991786351262557,0.959739151227881,5
103146,103147,0.00023467567821271003,0.00032854594949779405,0.00023467567821271003,0.7142857142857143,3043.714285714286,0.0002345985764691876,3.4991786351262557,0.959739151227881,5
113051,113047,0.00023467567821271003,0.00032854594949779405,0.00023467567821271003,0.7142857142857143,3043.714285714286,0.0002345985764691876,3.4991786351262557,0.959739151227881,5
113053,113047,0.00023467567821271003,0.00032854594949779405,0.00023467567821271003,0.7142857142857143,3043.714285714286,0.0002345985764691876,3.4991786351262557,0.959739151227881,5
113054,113047,0.00023467567821271003,0.00032854594949779405,0.00023467567821271003,0.7142857142857143,3043.714285714286,0.0002345985764691876,3.4991786351262557,0.959739151227881,5
107078,107079,0.00023467567821271003,0.00032854594949779405,0.00023467567821271003,0.7142857142857143,3043.714285714286,0.0002345985764691876,3.4991786351262557,0.959739151227881,5
206087,046020,0.00023467567821271003,0.00032854594949779405,0.00023467567821271003,0.7142857142857143,3043.714285714286,0.0002345985764691876,3.4991786351262557,0.959739151227881,5
071000,074003,0.00023467567821271003,0.00032854594949779405,0.00023467567821271003,0.7142857142857143,3043.714285714286,0.0002345985764691876,3.4991786351262557,0.959739151227881,5
127004,074003,0.00023467567821271003,0.00032854594949779405,0.00023467567821271003,0.7142857142857143,3043.714285714286,0.0002345985764691876,3.4991786351262557,0.959739151227881,5
102693,102692,0.00023467567821271003,0.00032854594949779405,0.00023467567821271003,0.7142857142857143,3043.714285714286,0.0002345985764691876,3.4991786351262557,0.959739151227881,5
102693,103314,0.00023467567821271003,0.00032854594949779405,0.00023467567821271003,0.7142857142857143,3043.714285714286,0.0002345985764691876,3.4991786351262557,0.959739151227881,5
107148,107134,0.00023467567821271003,0.00032854594949779405,0.00023467567821271003,0.7142857142857143,3043.714285714286,0.0002345985764691876,3.4991786351262557,0.959739151227881,5
113049,114017,0.00023467567821271003,0.000281610813855252,0.000281610813855252,0.8333333333333334,2959.166666666667,0.00023459637356222982,5.998310335116869,0.956368342899909,5
114017,113049,0.00023467567821271003,0.000281610813855252,0.000281610813855252,0.8333333333333334,2959.166666666667,0.00023459637356222982,5.998310335116869,0.956368342899909,5
133050,133056,0.00023467567821271003,0.000281610813855252,0.000281610813855252,0.8333333333333334,2959.166666666667,0.00023459637356222982,5.998310335116869,0.956368342899909,5
133056,133050,0.00023467567821271003,0.000281610813855252,0.000281610813855252,0.8333333333333334,2959.166666666667,0.00023459637356222982,5.998310335116869,0.956368342899909,5
131148,131151,0.00023467567821271003,0.000281610813855252,0.000281610813855252,0.8333333333333334,2959.166666666667,0.00023459637356222982,5.998310335116869,0.956368342899909,5
131151,131148,0.00023467567821271003,0.000281610813855252,0.000281610813855252,0.8333333333333334,2959.166666666667,0.00023459637356222982,5.998310335116869,0.956368342899909,5
102525,102526,0.00023467567821271003,0.000281610813855252,0.000281610813855252,0.8333333333333334,2959.166666666667,0.00023459637356222982,5.998310335116869,0.956368342899909,5
102526,102525,0.00023467567821271003,0.000281610813855252,0.000281610813855252,0.8333333333333334,2959.166666666667,0.00023459637356222982,5.998310335116869,0.956368342899909,5
063002,071003,0.00023467567821271003,0.000281610813855252,0.000281610813855252,0.8333333333333334,2959.166666666667,0.00023459637356222982,5.998310335116869,0.956368342899909,5
071003,063002,0.00023467567821271003,0.000281610813855252,0.000281610813855252,0.8333333333333334,2959.166666666667,0.00023459637356222982,5.998310335116869,0.956368342899909,5
102681,103557,0.00023467567821271003,0.000281610813855252,0.000281610813855252,0.8333333333333334,2959.166666666667,0.00023459637356222982,5.998310335116869,0.956368342899909,5
103557,102681,0.00023467567821271003,0.000281610813855252,0.000281610813855252,0.8333333333333334,2959.166666666667,0.00023459637356222982,5.998310335116869,0.956368342899909,5
107133,107150,0.00023467567821271003,0.000281610813855252,0.000281610813855252,0.8333333333333334,2959.166666666667,0.00023459637356222982,5.998310335116869,0.956368342899909,5
107150,107133,0.00023467567821271003,0.000281610813855252,0.000281610813855252,0.8333333333333334,2959.166666666667,0.00023459637356222982,5.998310335116869,0.956368342899909,5
102210,102211,0.00037548108514033607,0.00037548108514033607,0.00037548108514033607,1.0,2663.25,0.0003753400990950379,inf,1.0,8
102211,102210,0.00037548108514033607,0.00037548108514033607,0.00037548108514033607,1.0,2663.25,0.0003753400990950379,inf,1.0,8
018065,018067,0.00032854594949779405,0.00032854594949779405,0.00037548108514033607,1.0,2663.25,0.00032842258670815817,inf,0.9833519313490516,7
113051,113048,0.00032854594949779405,0.00032854594949779405,0.00037548108514033607,1.0,2663.25,0.00032842258670815817,inf,0.9833519313490516,7
113053,113048,0.00032854594949779405,0.00032854594949779405,0.00037548108514033607,1.0,2663.25,0.00032842258670815817,inf,0.9833519313490516,7
113054,113048,0.00032854594949779405,0.00032854594949779405,0.00037548108514033607,1.0,2663.25,0.00032842258670815817,inf,0.9833519313490516,7
133052,133055,0.00032854594949779405,0.00032854594949779405,0.00037548108514033607,1.0,2663.25,0.00032842258670815817,inf,0.9833519313490516,7
113050,113048,0.00032854594949779405,0.00032854594949779405,0.00037548108514033607,1.0,2663.25,0.00032842258670815817,inf,0.9833519313490516,7
016040,016039,0.00032854594949779405,0.00032854594949779405,0.00037548108514033607,1.0,2663.25,0.00032842258670815817,inf,0.9833519313490516,7
019054,016039,0.00032854594949779405,0.00032854594949779405,0.00037548108514033607,1.0,2663.25,0.00032842258670815817,inf,0.9833519313490516,7
091160,016039,0.00032854594949779405,0.00032854594949779405,0.00037548108514033607,1.0,2663.25,0.00032842258670815817,inf,0.9833519313490516,7
991106,016039,0.00032854594949779405,0.00032854594949779405,0.00037548108514033607,1.0,2663.25,0.00032842258670815817,inf,0.9833519313490516,7
9990P,5MP,0.000281610813855252,0.000281610813855252,0.00037548108514033607,1.0,2663.25,0.0002815050743212784,inf,0.9648094658414955,6
