granularity,period,transactions,avg_basket_size,series_type,article_a,article_b,period_label,period_transaction_count,shared_transactions,joint_support,lift,balanced_confidence,jaccard_similarity,cosine_similarity
basket_size_distribution,62,3.0,,aggregate_transactions,,,,,,,,,,
basket_size_distribution,63,1.0,,aggregate_transactions,,,,,,,,,,
basket_size_distribution,65,1.0,,aggregate_transactions,,,,,,,,,,
basket_size_distribution,66,1.0,,aggregate_transactions,,,,,,,,,,
basket_size_distribution,69,2.0,,aggregate_transactions,,,,,,,,,,
basket_size_distribution,70,1.0,,aggregate_transactions,,,,,,,,,,
basket_size_distribution,72,1.0,,aggregate_transactions,,,,,,,,,,
basket_size_distribution,75,2.0,,aggregate_transactions,,,,,,,,,,
basket_size_distribution,76,1.0,,aggregate_transactions,,,,,,,,,,
basket_size_distribution,79,1.0,,aggregate_transactions,,,,,,,,,,
basket_size_distribution,80,1.0,,aggregate_transactions,,,,,,,,,,
basket_size_distribution,81,1.0,,aggregate_transactions,,,,,,,,,,
basket_size_distribution,84,2.0,,aggregate_transactions,,,,,,,,,,
basket_size_distribution,86,2.0,,aggregate_transactions,,,,,,,,,,
basket_size_distribution,88,1.0,,aggregate_transactions,,,,,,,,,,
basket_size_distribution,106,1.0,,aggregate_transactions,,,,,,,,,,
basket_size_distribution,108,1.0,,aggregate_transactions,,,,,,,,,,
basket_size_distribution,113,1.0,,aggregate_transactions,,,,,,,,,,
basket_size_distribution,116,1.0,,aggregate_transactions,,,,,,,,,,
basket_size_distribution,189,1.0,,aggregate_transactions,,,,,,,,,,
,,,,pair_affinity,065072,126105,full_history,21120.0,402.0,0.01903409090909091,28.347573496268847,0.7295825771324864,0.5742857142857143,0.7345544846913108
,,,,pair_affinity,011014,014012,full_history,21120.0,354.0,0.016761363636363637,3.6331069671384317,0.2119760479041916,0.11855324849296718,0.24677079852772993
,,,,pair_affinity,014012,014014,full_history,21120.0,248.0,0.011742424242424242,13.880560230028221,0.3881064162754304,0.2407766990291262,0.4037219673779385
,,,,pair_affinity,065072,084099,full_history,21120.0,239.0,0.011316287878787879,29.737716507599863,0.5364758698092031,0.3665644171779141,0.5801039224637103
,,,,pair_affinity,084099,126105,full_history,21120.0,199.0,0.009422348484848485,31.26863672886349,0.5216251638269986,0.3528368794326241,0.542792770682776
,,,,pair_affinity,011014,014014,full_history,21120.0,177.0,0.008380681818181818,3.1976049440797216,0.11847389558232933,0.06296691568836713,0.1637012816583218
,,,,pair_affinity,065072,084042,full_history,21120.0,171.0,0.00809659090909091,26.333588537679102,0.40811455847255373,0.2563718140929535,0.4617491673602814
,,,,pair_affinity,011014,011026,full_history,21120.0,162.0,0.007670454545454545,3.1512226571494364,0.10964467005076142,0.05800214822771214,0.15547125185792787
,,,,pair_affinity,087037,141136,full_history,21120.0,152.0,0.007196969696969697,83.71772805507746,0.765743073047859,0.6204081632653061,0.7762177219772441
,,,,pair_affinity,084042,126105,full_history,21120.0,148.0,0.007007575757575758,28.782055413854383,0.4169014084507042,0.26334519572953735,0.44910180780233794
,,,,pair_affinity,011026,014012,full_history,21120.0,132.0,0.00625,7.955029248109574,0.21204819277108433,0.11859838274932614,0.22297742666172474
,,,,pair_affinity,011104,011105,full_history,21120.0,131.0,0.006202651515151515,23.087938314668623,0.37163120567375885,0.22822299651567945,0.37842626173298816
