propietario,owner_name,demanda_actual_eu,demanda_actual_am,demanda_actual_tr,suelo_estandar_actual,suelo_250_actual,suelo_300_actual,suelo_126_actual,balda_9h_actual,externo_soportado_total,externo_inferido_total,externo_revision_manual,total_recomendado_90,balda_9h,suelo_126,suelo_250,penalty_10_soportado,balda_9h_all,suelo_126_all,suelo_250_all,suelo_300_all,penalty_10_all,suelo_300,current_eq,supported_eq,suelo_250_total,suelo_300_total,suelo_126_total,balda_9h_total_subhuecos,balda_9h_total_posiciones_suelo,suelo_250_total_all,suelo_300_total_all,suelo_126_total_all,balda_9h_total_subhuecos_all,balda_9h_total_posiciones_suelo_all,special_floor_positions_total,special_floor_positions_total_all,penalty_10_total,penalty_10_total_all,floor_positions_required_90,floor_positions_required_fit,conditioned_extra_eq,floor_positions_required_layout,suelo_250_total_layout,suelo_300_total_layout,suelo_126_total_layout,balda_9h_total_posiciones_suelo_layout,penalty_10_total_layout,layout_support_status,buffer_positions_to_90,salidas_lineas,salidas_transacciones,volumen_unidades,servicios_lineas,ranking_operativo_score,salidas_lineas_2026,salidas_transacciones_2026,volumen_unidades_2026,ultima_salida_2026,observed_suelo_250,observed_suelo_300,observed_suelo_126,observed_balda_subhuecos,ranking_mode
62,MAHOU JOVEN,68.0,2.0,2.0,1.0,6.0,0.0,2.0,5.0,0.0,0.5,0.0,96.17283950617283,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,86.55555555555556,86.55555555555556,6.0,0.0,2.0,5.0,1,6.0,0.0,2.5,5.0,1,9.0,9.5,6.0,6.0,21.0,19.0,0.5,19.0,6.0,0.0,2.0,1,6.0,base_soportada,2.0,730.0,447.0,71206.0,188.0,0.10316326091003977,78.0,34.0,11474.0,1776319935000000000,6,0,2,5,rotacion_2026_strict
89,BRAND MANAGEMENT MERCADO,35.0,0.0,2.0,0.0,6.0,1.0,2.0,8.0,0.0,0.0,0.0,56.5432098765432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.888888888888886,50.888888888888886,6.0,1.0,2.0,8.0,1,6.0,1.0,2.0,8.0,1,10.0,10.0,7.0,7.0,13.0,12.0,0.0,12.0,6.0,1.0,2.0,1,7.0,base_soportada,1.0,559.0,353.0,236753.0,102.0,0.09805089225476961,64.0,27.0,20665.0,1776352654000000000,6,1,2,8,rotacion_2026_strict
86,GOLF,28.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,33.45679012345679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.11111111111111,30.11111111111111,0.0,1.0,1.0,1.0,1,0.0,1.0,1.0,1.0,1,3.0,3.0,1.0,1.0,7.0,7.0,0.0,7.0,0.0,1.0,1.0,1,1.0,base_soportada,0.0,45.0,6.0,11351.0,69.0,0.008490974381469459,39.0,3.0,9525.0,1773645371000000000,0,1,1,1,rotacion_2026_strict
90,HUB CONTENIDO & ACTIVACION,14.0,0.0,0.0,0.0,1.0,1.0,0.0,9.0,0.0,0.1018518518518518,0.0,18.88888888888889,0.0,0.0,0.0,0.0,0.9166666666666666,0.0,0.0,0.0,0.0,0.0,17.0,17.0,1.0,1.0,0.0,9.0,1,1.0,1.0,0.0,9.916666666666666,2,3.0,4.0,2.0,2.0,5.0,4.0,0.1018518518518518,4.0,1.0,1.0,0.0,1,2.0,base_soportada,1.0,187.0,131.0,10794.0,0.0,0.023989860717624628,30.0,18.0,4416.0,1776345772000000000,1,1,0,9,rotacion_2026_strict
61,MAHOU CORPORATIVO,24.0,1.0,0.0,1.0,0.0,1.0,0.0,8.0,103.69952526186778,1440.5659722222222,0.0,146.76490461195186,266.6666666666667,0.0,0.0,0.0,905.4166666666666,1368.0,0.0,1.5,1.5,0.0,28.38888888888889,132.08841415075668,0.0,1.0,0.0,274.6666666666667,31,0.0,2.5,1368.0,913.4166666666666,102,32.0,1472.5,1.0,4.0,32.0,32.0,1440.5659722222222,32.0,0.0,1.0,0.0,31,1.0,base_soportada,0.0,952.0,461.0,51207.0,33.0,0.09709107548667849,29.0,9.0,1284.0,1776071596000000000,0,1,0,8,rotacion_2026_strict
77,ASUNTOS CORPORATIVOS Y SOSTENIBILIDAD,27.0,2.0,0.0,1.0,3.0,0.0,0.0,20.0,146.28119562867283,510.519675925926,0.0,202.7815753898834,92.27916666666667,3.125,0.0,0.0,559.6125,456.125,0.0,5.0,5.0,0.0,36.22222222222222,182.50341785089506,3.0,0.0,3.125,112.27916666666667,13,3.0,5.0,456.125,579.6125,65,19.125,529.125,3.0,13.0,42.0,38.0,510.519675925926,38.0,3.0,0.0,3.125,13,3.0,base_soportada,4.0,333.0,118.0,47362.0,50.0,0.034331827929590504,24.0,4.0,1545.0,1775837245000000000,3,0,0,20,rotacion_2026_strict
34,CUENTAS NACIONALES,102.0,17.0,5.0,8.0,24.0,3.0,7.0,28.0,11.688888888888888,0.0,0.0,221.44444444444449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187.61111111111111,199.3,24.0,3.0,7.0,28.0,4,24.0,3.0,7.0,28.0,4,38.0,38.0,27.0,27.0,50.0,46.0,0.0,46.0,24.0,3.0,7.0,4,27.0,base_soportada,4.0,510.0,258.0,117777.0,179.0,0.07613173186583973,20.0,9.0,360.0,1773076895000000000,24,3,7,28,rotacion_2026_strict
98,MAHOU CANAL,41.0,21.0,0.0,1.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,89.44444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.5,80.5,3.0,2.0,2.0,0.0,0,3.0,2.0,2.0,0.0,0,7.0,7.0,5.0,5.0,19.0,18.0,0.0,18.0,3.0,2.0,2.0,0,5.0,base_soportada,1.0,60.0,41.0,38881.0,22.0,0.013187082069753102,12.0,6.0,34.0,1776169264000000000,3,2,2,0,rotacion_2026_strict
79,SAN MIGUEL CORPORATIVO,14.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,16.666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,0.0,0.0,0.0,9.0,1,0.0,0.0,0.0,9.0,1,1.0,1.0,0.0,0.0,4.0,3.0,0.0,3.0,0.0,0.0,0.0,1,0.0,base_soportada,1.0,15.0,13.0,1271.0,19.0,0.003612637400416143,10.0,8.0,400.0,1776320312000000000,0,0,0,9,rotacion_2026_strict
12,ESPACIOS CERVECERAS,28.0,3.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,39.44444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.5,35.5,2.0,0.0,0.0,0.0,0,2.0,0.0,0.0,0.0,0,2.0,2.0,2.0,2.0,9.0,8.0,0.0,8.0,2.0,0.0,0.0,0,2.0,base_soportada,1.0,10.0,5.0,1308.0,8.0,0.0015538017681612335,9.0,4.0,1307.0,1774511806000000000,2,0,0,0,rotacion_2026_strict
