propietario,ranking_operativo,pasillo_principal,pasillo_secundario,tipo_asignacion,escenario,soporte_asignacion,justificacion
71,0.0378,,,split_contiguo,condicionado,ranking=0.038; demanda_90=259.0,"propietario priorizado por salidas históricas, volumen y capacidad"
77,0.0343,,,split_contiguo,condicionado,ranking=0.034; demanda_90=770.0,"propietario priorizado por salidas históricas, volumen y capacidad"
90,0.024,,,split_contiguo,condicionado,ranking=0.024; demanda_90=19.0,"propietario priorizado por salidas históricas, volumen y capacidad"
80,0.0225,,,split_contiguo,condicionado,ranking=0.023; demanda_90=31.0,"propietario priorizado por salidas históricas, volumen y capacidad"
98,0.0132,,,split_contiguo,condicionado,ranking=0.013; demanda_90=89.4,"propietario priorizado por salidas históricas, volumen y capacidad"
86,0.0085,,,split_contiguo,condicionado,ranking=0.008; demanda_90=33.5,"propietario priorizado por salidas históricas, volumen y capacidad"
76,0.0071,,,split_contiguo,condicionado,ranking=0.007; demanda_90=76.3,"propietario priorizado por salidas históricas, volumen y capacidad"
72,0.0068,,,split_contiguo,condicionado,ranking=0.007; demanda_90=22.9,"propietario priorizado por salidas históricas, volumen y capacidad"
74,0.0041,,,split_contiguo,condicionado,ranking=0.004; demanda_90=42.3,"propietario priorizado por salidas históricas, volumen y capacidad"
79,0.0036,,,split_contiguo,condicionado,ranking=0.004; demanda_90=16.7,"propietario priorizado por salidas históricas, volumen y capacidad"
60,0.0028,,,split_contiguo,condicionado,ranking=0.003; demanda_90=51.4,"propietario priorizado por salidas históricas, volumen y capacidad"
21,0.0016,,,split_contiguo,condicionado,ranking=0.002; demanda_90=6.8,"propietario priorizado por salidas históricas, volumen y capacidad"
12,0.0016,,,split_contiguo,condicionado,ranking=0.002; demanda_90=39.4,"propietario priorizado por salidas históricas, volumen y capacidad"
51,0.0011,,,split_contiguo,condicionado,ranking=0.001; demanda_90=5.6,"propietario priorizado por salidas históricas, volumen y capacidad"
46,0.001,,,split_contiguo,condicionado,ranking=0.001; demanda_90=2.2,"propietario priorizado por salidas históricas, volumen y capacidad"
37,,,,split_contiguo,condicionado,ranking=nan; demanda_90=35.0,"propietario priorizado por salidas históricas, volumen y capacidad"
