ART,RESERVA,owner_base,UDS,ADR,QCNT,capa_conversion,factor_conversion_usado,tipologia_estimacion,unidad_resultante,posiciones_estimadas,soporte
123029,33,33,150,BB13701,150,C,2.0,suelo_126,posicion_suelo,75.0,dimensión <= 126 cm; owner=prefijo_RESERVA
102573,29,29,2,B03,2,C,12.0,balda_9h,subhueco_balda,0.16666666666666666,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA
*MULTI*,,sin_asignacion_segura,1,AV11402,1,C,,revision_manual,revision_manual,,revision_manual_sin_dimensiones; owner=sin_match
83113,61,61,1,AJ02201,1,C,12.0,balda_9h,subhueco_balda,0.08333333333333333,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA
41079,3,3,1,97,1,C,12.0,balda_9h,subhueco_balda,0.08333333333333333,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA
161161,71,71,1,AZ11201,1,C,1.0,suelo_250,posicion_suelo,1.0,dimensión >= 190 cm o categoría exterior; owner=prefijo_RESERVA
65059,71 CAMION120,71,306,AL03905,1,C,12.0,balda_9h,subhueco_balda,25.5,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA
42065,64,64,5,AW10703,5,B,1.0,EU,posicion_rack,5.0,match_articulo; owner=prefijo_RESERVA
32088,3,3,7,99,1,A,13.5,EU,posicion_rack,0.5185185185185185,match_articulo_propietario; owner=prefijo_RESERVA
61016,77,77,120,AO04804,1,B,252.0,EU,posicion_rack,0.47619047619047616,match_articulo; owner=prefijo_RESERVA
111008,32,32,89,AI10804,89,C,12.0,balda_9h,subhueco_balda,7.416666666666667,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA
98571,61,61,5,AR04504,5,C,,revision_manual,revision_manual,,revision_manual_sin_dimensiones; owner=prefijo_RESERVA
98884,64,64,25,AZ01902,25,C,,revision_manual,revision_manual,,revision_manual_sin_dimensiones; owner=prefijo_RESERVA
154020,64,64,1,BC08302,1,C,2.0,suelo_126,posicion_suelo,0.5,dimensión <= 126 cm; owner=prefijo_RESERVA
98596,61,61,4,AO12803,4,C,,revision_manual,revision_manual,,revision_manual_sin_dimensiones; owner=prefijo_RESERVA
174123,29,29,1,AO11100,1,C,2.0,TR,posicion_rack,0.5,dimensión larga compatible con TR; owner=prefijo_RESERVA
