ART,RESERVA,owner_base,UDS,ADR,QCNT,capa_conversion,factor_conversion_usado,tipologia_estimacion,unidad_resultante,posiciones_estimadas,soporte
174030,4,4,1,AL105,1,C,2.0,TR,posicion_rack,0.5,dimensión larga compatible con TR; owner=prefijo_RESERVA
*MULTI*,,sin_asignacion_segura,1,BC08302,1,C,,revision_manual,revision_manual,,revision_manual_sin_dimensiones; owner=sin_match
18076,29,29,20,AK06906,1,C,12.0,balda_9h,subhueco_balda,1.6666666666666667,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA
98613,61,61,10,AO13903,10,C,,revision_manual,revision_manual,,revision_manual_sin_dimensiones; owner=prefijo_RESERVA
*MULTI*,,sin_asignacion_segura,1,AZ11801,1,C,,revision_manual,revision_manual,,revision_manual_sin_dimensiones; owner=sin_match
15178,61,61,112,AH01003,1,C,2.0,suelo_126,posicion_suelo,56.0,dimensión <= 126 cm; owner=prefijo_RESERVA
23008,32,32,3,AK09601,1,C,2.0,suelo_126,posicion_suelo,1.5,dimensión <= 126 cm; owner=prefijo_RESERVA
186020,33,33,102,BA04603,102,C,12.0,balda_9h,subhueco_balda,8.5,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA
98545,77,77,210,AZ02903,1,C,,revision_manual,revision_manual,,revision_manual_sin_dimensiones; owner=prefijo_RESERVA
991061,33,33,976,AZ11005,1,C,12.0,balda_9h,subhueco_balda,81.33333333333333,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA
154034,64,64,1,BA08705,1,A,1.0,EU,posicion_rack,1.0,match_articulo_propietario; owner=prefijo_RESERVA
98611,61,61,10,AO13903,10,C,,revision_manual,revision_manual,,revision_manual_sin_dimensiones; owner=prefijo_RESERVA
109093,32,32,500,AZ08905,500,C,2.0,suelo_126,posicion_suelo,250.0,dimensión <= 126 cm; owner=prefijo_RESERVA
98007,14 VOLUNTARIA,14,18,BA02801,18,C,,revision_manual,revision_manual,,revision_manual_sin_dimensiones; owner=prefijo_RESERVA
167009,64,64,1,BF10303,1,C,2.0,suelo_126,posicion_suelo,0.5,dimensión <= 126 cm; owner=prefijo_RESERVA
23075,61,61,1,AZ12902,1,C,16.0,AM,posicion_rack,0.0625,dimensión compatible con AM; owner=prefijo_RESERVA
98377,33,33,1,AV08607,1,C,,revision_manual,revision_manual,,revision_manual_sin_dimensiones; owner=prefijo_RESERVA
98569,61,61,5,AZ02300,5,C,,revision_manual,revision_manual,,revision_manual_sin_dimensiones; owner=prefijo_RESERVA
165013,3,3,4,AL102,4,C,12.0,balda_9h,subhueco_balda,0.3333333333333333,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA
98015,14 VOLUNTARIA,14,20,BA02801,20,C,,revision_manual,revision_manual,,revision_manual_sin_dimensiones; owner=prefijo_RESERVA
121033,33,33,9,BA04603,9,C,12.0,balda_9h,subhueco_balda,0.75,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA
74019,34,34,306,AZ05403,1,A,270.0,EU,posicion_rack,1.1333333333333333,match_articulo_propietario; owner=prefijo_RESERVA
206050,29,29,19,AR14801,1,A,19.5,AM,posicion_rack,0.9743589743589743,match_articulo_propietario; owner=prefijo_RESERVA
152153,71,71,1,TJ03300,1,C,16.0,AM,posicion_rack,0.0625,dimensión compatible con AM; owner=prefijo_RESERVA
63015,77,77,384,AW06703,1,B,96.0,balda_9h,subhueco_balda,4.0,match_articulo; owner=prefijo_RESERVA
154090,29,29,6,TJ11600,1,C,2.0,suelo_300,posicion_suelo,3.0,dimensión >= 250 cm; owner=prefijo_RESERVA
145078,64,64,1,AT10303,1,B,10.5,EU,posicion_rack,0.09523809523809523,match_articulo; owner=prefijo_RESERVA
11028,29,29,1080,BF13103,1,C,12.0,balda_9h,subhueco_balda,90.0,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA
102232,32,32,3,AV10906,3,C,2.0,suelo_126,posicion_suelo,1.5,dimensión <= 126 cm; owner=prefijo_RESERVA
124249,33,33,252,AL00804,1,C,2.0,suelo_126,posicion_suelo,126.0,dimensión <= 126 cm; owner=prefijo_RESERVA
83121,77,77,2,AQ08403,2,C,12.0,balda_9h,subhueco_balda,0.16666666666666666,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA
128247,32,32,1,AZ02002,1,C,2.0,TR,posicion_rack,0.5,dimensión larga compatible con TR; owner=prefijo_RESERVA
98767,64,64,2,BB06504,1,C,,revision_manual,revision_manual,,revision_manual_sin_dimensiones; owner=prefijo_RESERVA
103573,29,29,3,AV13702,3,C,12.0,balda_9h,subhueco_balda,0.25,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA
102582,33,33,1,BB13701,1,C,12.0,balda_9h,subhueco_balda,0.08333333333333333,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA
*MULTI*,,sin_asignacion_segura,1,TJ13000,1,C,,revision_manual,revision_manual,,revision_manual_sin_dimensiones; owner=sin_match
103591,29,29,1,AV13702,1,C,12.0,balda_9h,subhueco_balda,0.08333333333333333,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA
61002,61,61,12,AK01105,12,B,690.0,EU,posicion_rack,0.017391304347826087,match_articulo; owner=prefijo_RESERVA
74036,60,60,480,BB00103,1,C,12.0,balda_9h,subhueco_balda,40.0,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA
105091,29,29,17,BF07103,17,C,12.0,balda_9h,subhueco_balda,1.4166666666666667,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA
103178,29,29,1,AV13002,1,C,12.0,balda_9h,subhueco_balda,0.08333333333333333,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA
36028,64,64,4,AV03306,4,B,40.0,EU,posicion_rack,0.1,match_articulo; owner=prefijo_RESERVA
98599,61,61,5,AZ02300,5,C,,revision_manual,revision_manual,,revision_manual_sin_dimensiones; owner=prefijo_RESERVA
22043,29,29,2,AJ08904,1,B,5.0,AM,posicion_rack,0.4,match_articulo; owner=prefijo_RESERVA
179023,33,33,1,AU04301,1,C,2.0,suelo_126,posicion_suelo,0.5,dimensión <= 126 cm; owner=prefijo_RESERVA
105103,29,29,1,AV13702,1,C,12.0,balda_9h,subhueco_balda,0.08333333333333333,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA
98692,61,61,156,BD09602,156,C,,revision_manual,revision_manual,,revision_manual_sin_dimensiones; owner=prefijo_RESERVA
126061,61,61,14,AJ02201,14,B,1.0,balda_9h,subhueco_balda,14.0,match_articulo; owner=prefijo_RESERVA
121029,33,33,10,BA04603,10,C,12.0,balda_9h,subhueco_balda,0.8333333333333334,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA
31141,7,7,12,BA12403,1,C,2.0,suelo_126,posicion_suelo,6.0,dimensión <= 126 cm; owner=prefijo_RESERVA
121028,33,33,8,BA04603,8,C,12.0,balda_9h,subhueco_balda,0.6666666666666666,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA
*MULTI*,,sin_asignacion_segura,1,AJ07006,1,C,,revision_manual,revision_manual,,revision_manual_sin_dimensiones; owner=sin_match
35015,64,64,3,AV02908,1,C,6.0,EU,posicion_rack,0.5,dimensión compatible con EU; owner=prefijo_RESERVA
102561,29,29,3,AV13002,3,C,12.0,balda_9h,subhueco_balda,0.25,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA
98376,33,33,1,AW04904,1,C,,revision_manual,revision_manual,,revision_manual_sin_dimensiones; owner=prefijo_RESERVA
61018,61,61,12,AK01105,12,C,12.0,balda_9h,subhueco_balda,1.0,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA
154026,64,64,1,AJ09507,1,C,16.0,AM,posicion_rack,0.0625,dimensión compatible con AM; owner=prefijo_RESERVA
*MULTI*,,sin_asignacion_segura,1,TJ10702,1,C,,revision_manual,revision_manual,,revision_manual_sin_dimensiones; owner=sin_match
98888,64,64,20,AZ01902,20,C,,revision_manual,revision_manual,,revision_manual_sin_dimensiones; owner=prefijo_RESERVA
103034,14 VOLUNTARIA,14,25,BA02801,25,A,26.0,balda_9h,subhueco_balda,0.9615384615384616,match_articulo_propietario; owner=prefijo_RESERVA
51061,71,71,1,BA11900,1,C,16.0,AM,posicion_rack,0.0625,dimensión compatible con AM; owner=prefijo_RESERVA
16024,29,29,3,AV08503,3,A,8.5,suelo_126,posicion_suelo,0.35294117647058826,match_articulo_propietario; owner=prefijo_RESERVA
148076,37,37,3,AL107,1,C,12.0,balda_9h,subhueco_balda,0.25,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA
207021,29,29,2,AJ09706,2,C,2.0,suelo_300,posicion_suelo,1.0,dimensión >= 250 cm; owner=prefijo_RESERVA
98643,61,61,3,AZ02300,3,C,,revision_manual,revision_manual,,revision_manual_sin_dimensiones; owner=prefijo_RESERVA
98561,61,61,5,AP09401,5,C,,revision_manual,revision_manual,,revision_manual_sin_dimensiones; owner=prefijo_RESERVA
205212,23,23,1,99,1,C,1.0,suelo_250,posicion_suelo,1.0,dimensión >= 190 cm o categoría exterior; owner=prefijo_RESERVA
205024,37,37,2,AL104,1,C,1.0,suelo_250,posicion_suelo,2.0,dimensión >= 190 cm o categoría exterior; owner=prefijo_RESERVA
18089,77,77,6,AV07110,6,B,648.0,EU,posicion_rack,0.009259259259259259,match_articulo; owner=prefijo_RESERVA
16010,77,77,2,AV13902,1,B,12.0,EU,posicion_rack,0.16666666666666666,match_articulo; owner=prefijo_RESERVA
43037,64,64,1,AN09406,1,C,2.0,suelo_126,posicion_suelo,0.5,dimensión <= 126 cm; owner=prefijo_RESERVA
98012,14 VOLUNTARIA,14,17,BA02801,17,C,,revision_manual,revision_manual,,revision_manual_sin_dimensiones; owner=prefijo_RESERVA
98612,61,61,9,AO13903,9,C,,revision_manual,revision_manual,,revision_manual_sin_dimensiones; owner=prefijo_RESERVA
51213,29,29,3,AJ09603,1,C,2.0,suelo_126,posicion_suelo,1.5,dimensión <= 126 cm; owner=prefijo_RESERVA
147025,64,64,2,AL03505,2,C,12.0,balda_9h,subhueco_balda,0.16666666666666666,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA
31141,7,7,11,BA11805,1,C,2.0,suelo_126,posicion_suelo,5.5,dimensión <= 126 cm; owner=prefijo_RESERVA
102143,29,29,15,AW09301,15,C,12.0,balda_9h,subhueco_balda,1.25,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA
14012,29,29,96,BB00804,96,A,120.0,EU,posicion_rack,0.8,match_articulo_propietario; owner=prefijo_RESERVA
98552,61,61,2,AZ09501,1,C,,revision_manual,revision_manual,,revision_manual_sin_dimensiones; owner=prefijo_RESERVA
172034,32,32,13,AI10804,13,C,2.0,suelo_126,posicion_suelo,6.5,dimensión <= 126 cm; owner=prefijo_RESERVA
44088,29,29,7,AN14604,1,A,7.0,EU,posicion_rack,1.0,match_articulo_propietario; owner=prefijo_RESERVA
133033,32,32,178,AK01803,178,C,12.0,balda_9h,subhueco_balda,14.833333333333334,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA
103337,29,29,7,AV13702,7,C,12.0,balda_9h,subhueco_balda,0.5833333333333334,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA
91155,77,77,1,BA00603,1,C,6.0,EU,posicion_rack,0.16666666666666666,dimensión compatible con EU; owner=prefijo_RESERVA
174112,64,64,1,BD04402,1,C,16.0,AM,posicion_rack,0.0625,dimensión compatible con AM; owner=prefijo_RESERVA
184143,61,61,2,AJ02201,2,C,2.0,suelo_126,posicion_suelo,1.0,dimensión <= 126 cm; owner=prefijo_RESERVA
*MULTI*,,sin_asignacion_segura,1,AV10906,1,C,,revision_manual,revision_manual,,revision_manual_sin_dimensiones; owner=sin_match
*MULTI*,,sin_asignacion_segura,1,AI05701,1,C,,revision_manual,revision_manual,,revision_manual_sin_dimensiones; owner=sin_match
18002,77,77,12,AV13708,1,B,324.0,EU,posicion_rack,0.037037037037037035,match_articulo; owner=prefijo_RESERVA
121035,33,33,55,BA04603,55,C,12.0,balda_9h,subhueco_balda,4.583333333333333,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA
172034,32,32,12,AI10804,12,C,2.0,suelo_126,posicion_suelo,6.0,dimensión <= 126 cm; owner=prefijo_RESERVA
132020,64,64,12,AP08402,1,C,1.0,suelo_250,posicion_suelo,12.0,dimensión >= 190 cm o categoría exterior; owner=prefijo_RESERVA
14014,77,77,24,AQ08403,1,B,360.0,EU,posicion_rack,0.06666666666666667,match_articulo; owner=prefijo_RESERVA
148017,37,37,1,C10,1,C,12.0,balda_9h,subhueco_balda,0.08333333333333333,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA
143084,71,71,5,BB09205,5,C,2.0,suelo_126,posicion_suelo,2.5,dimensión <= 126 cm; owner=prefijo_RESERVA
12071,77,77,10,AV07110,10,C,12.0,balda_9h,subhueco_balda,0.8333333333333334,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA
121030,33,33,8,BA04603,8,C,12.0,balda_9h,subhueco_balda,0.6666666666666666,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA
13014,77 CANADAS,77,5,AO03604,5,C,12.0,balda_9h,subhueco_balda,0.4166666666666667,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA
154089,64,64,1,AW08904,1,C,2.0,suelo_300,posicion_suelo,0.5,dimensión >= 250 cm; owner=prefijo_RESERVA
*MULTI*,,sin_asignacion_segura,1,AL03505,1,C,,revision_manual,revision_manual,,revision_manual_sin_dimensiones; owner=sin_match
74036,60,60,120,AV07808,1,C,12.0,balda_9h,subhueco_balda,10.0,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA
32051,71,71,6,AV03110,1,C,2.0,suelo_126,posicion_suelo,3.0,dimensión <= 126 cm; owner=prefijo_RESERVA
14015,29,29,1392,AP06604,1,A,24.0,balda_9h,subhueco_balda,58.0,match_articulo_propietario; owner=prefijo_RESERVA
186055,61,61,253,AJ02201,253,C,12.0,balda_9h,subhueco_balda,21.083333333333332,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA
142013,64,64,1,AZ11801,1,C,2.0,suelo_126,posicion_suelo,0.5,dimensión <= 126 cm; owner=prefijo_RESERVA
124260,33,33,72,AZ08001,1,C,12.0,balda_9h,subhueco_balda,6.0,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA
125135,29,29,1400,AV13702,1400,C,12.0,balda_9h,subhueco_balda,116.66666666666667,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA
42056,64,64,1,BA08705,1,A,1.0,EU,posicion_rack,1.0,match_articulo_propietario; owner=prefijo_RESERVA
127036,71,71,19,BB09205,19,C,2.0,suelo_126,posicion_suelo,9.5,dimensión <= 126 cm; owner=prefijo_RESERVA
61050,61,61,30,TJ06400,5,C,12.0,balda_9h,subhueco_balda,2.5,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA
11127,29,29,216,AZ11204,1,A,692.0,EU,posicion_rack,0.31213872832369943,match_articulo_propietario; owner=prefijo_RESERVA
111009,32,32,249,AI10804,249,C,12.0,balda_9h,subhueco_balda,20.75,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA
11014,61,61,1080,AZ12904,1,B,48.0,EU,posicion_rack,22.5,match_articulo; owner=prefijo_RESERVA
888888,29,29,1,AZ07603,1,C,12.0,balda_9h,subhueco_balda,0.08333333333333333,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA
991061,33,33,4170,AI13201,1,C,12.0,balda_9h,subhueco_balda,347.5,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA
11105,61,61,48,AJ08001,2,B,72.0,EU,posicion_rack,0.6666666666666666,match_articulo; owner=prefijo_RESERVA
86006,7,7,300,BA13202,1,C,12.0,balda_9h,subhueco_balda,25.0,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA
148008,3,3,1,AL103,1,C,12.0,balda_9h,subhueco_balda,0.08333333333333333,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA
11112,61,61,192,TJ02503,1,C,12.0,balda_9h,subhueco_balda,16.0,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA
98558,61,61,2,AZ02300,2,C,,revision_manual,revision_manual,,revision_manual_sin_dimensiones; owner=prefijo_RESERVA
91055,32,32,1,BB13202,1,C,6.0,EU,posicion_rack,0.16666666666666666,dimensión compatible con EU; owner=prefijo_RESERVA
98603,61,61,5,AZ02300,5,C,,revision_manual,revision_manual,,revision_manual_sin_dimensiones; owner=prefijo_RESERVA
53015,32,32,4,AV10906,4,B,1.5,EU,posicion_rack,2.6666666666666665,match_articulo; owner=prefijo_RESERVA
83043,7,7,2147,BD09304,1,C,12.0,balda_9h,subhueco_balda,178.91666666666666,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA
98587,61,61,10,AO07002,10,C,,revision_manual,revision_manual,,revision_manual_sin_dimensiones; owner=prefijo_RESERVA
161035,61,61,1,BD09402,1,B,1.0,EU,posicion_rack,1.0,match_articulo; owner=prefijo_RESERVA
109321,29,29,5,AV13702,5,C,12.0,balda_9h,subhueco_balda,0.4166666666666667,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA
98500,61,61,1,AV12505,1,C,,revision_manual,revision_manual,,revision_manual_sin_dimensiones; owner=prefijo_RESERVA
1593V,29,29,6,AV09202,1,C,,revision_manual,revision_manual,,revision_manual_sin_dimensiones; owner=prefijo_RESERVA
192045,33,33,2517,AI14301,1,C,12.0,balda_9h,subhueco_balda,209.75,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA
123097,33,33,16,BA04603,16,C,2.0,suelo_126,posicion_suelo,8.0,dimensión <= 126 cm; owner=prefijo_RESERVA
98895,64,64,42,AZ01902,42,C,,revision_manual,revision_manual,,revision_manual_sin_dimensiones; owner=prefijo_RESERVA
61050,61,61,24,AV13205,1,C,12.0,balda_9h,subhueco_balda,2.0,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA
167010,71,71,2,BC03001,1,C,2.0,suelo_126,posicion_suelo,1.0,dimensión <= 126 cm; owner=prefijo_RESERVA
98883,64,64,5,AZ01902,5,C,,revision_manual,revision_manual,,revision_manual_sin_dimensiones; owner=prefijo_RESERVA
14014,29,29,96,AV11602,1,A,276.0,EU,posicion_rack,0.34782608695652173,match_articulo_propietario; owner=prefijo_RESERVA
43025,7,7,1,AZ03102,1,C,16.0,AM,posicion_rack,0.0625,dimensión compatible con AM; owner=prefijo_RESERVA
102580,33,33,1,BA04603,1,C,12.0,balda_9h,subhueco_balda,0.08333333333333333,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA
98757,64,64,1,AN02402,1,C,,revision_manual,revision_manual,,revision_manual_sin_dimensiones; owner=prefijo_RESERVA
62001,77,77,1068,BB02204,1,B,30.0,balda_9h,subhueco_balda,35.6,match_articulo; owner=prefijo_RESERVA
44023,32,32,8,AW04702,1,C,2.0,suelo_126,posicion_suelo,4.0,dimensión <= 126 cm; owner=prefijo_RESERVA
14012,61,61,1032,AM03304,1,B,144.0,EU,posicion_rack,7.166666666666667,match_articulo; owner=prefijo_RESERVA
22157,64,64,2,AW10703,2,C,2.0,suelo_126,posicion_suelo,1.0,dimensión <= 126 cm; owner=prefijo_RESERVA
11121,29 ATLETICO,29,22,AH10403,1,C,2.0,suelo_126,posicion_suelo,11.0,dimensión <= 126 cm; owner=prefijo_RESERVA
*MULTI*,,sin_asignacion_segura,1,AV08607,1,C,,revision_manual,revision_manual,,revision_manual_sin_dimensiones; owner=sin_match
*MULTI*,,sin_asignacion_segura,1,AV13702,1,C,,revision_manual,revision_manual,,revision_manual_sin_dimensiones; owner=sin_match
98755,64,64,3,AN02002,1,C,,revision_manual,revision_manual,,revision_manual_sin_dimensiones; owner=prefijo_RESERVA
74019,34,34,720,AQ06602,1,A,270.0,EU,posicion_rack,2.6666666666666665,match_articulo_propietario; owner=prefijo_RESERVA
*MULTI*,,sin_asignacion_segura,1,AW04904,1,C,,revision_manual,revision_manual,,revision_manual_sin_dimensiones; owner=sin_match
98507,61,61,72,AZ00604,1,C,,revision_manual,revision_manual,,revision_manual_sin_dimensiones; owner=prefijo_RESERVA
74036,60,60,450,BB09903,1,C,12.0,balda_9h,subhueco_balda,37.5,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA
98574,61,61,5,AR04504,5,C,,revision_manual,revision_manual,,revision_manual_sin_dimensiones; owner=prefijo_RESERVA
71118,71,71,198,AV10902,1,B,194.0,EU,posicion_rack,1.0206185567010309,match_articulo; owner=prefijo_RESERVA
172078,64,64,25,AH00804,1,C,12.0,balda_9h,subhueco_balda,2.0833333333333335,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA
888888,29,29,1,BA08105,1,C,12.0,balda_9h,subhueco_balda,0.08333333333333333,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA
152182,61,61,3,AJ07006,3,C,12.0,balda_9h,subhueco_balda,0.25,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA
181201,32,32,1,AV01108,1,C,2.0,suelo_126,posicion_suelo,0.5,dimensión <= 126 cm; owner=prefijo_RESERVA
98729,61,61,2,AZ02300,2,C,,revision_manual,revision_manual,,revision_manual_sin_dimensiones; owner=prefijo_RESERVA
13046,77,77,192,TJ07801,1,C,12.0,balda_9h,subhueco_balda,16.0,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA
98620,61,61,2,AO14003,2,C,,revision_manual,revision_manual,,revision_manual_sin_dimensiones; owner=prefijo_RESERVA
91197,23,23,1,B03,1,C,2.0,suelo_126,posicion_suelo,0.5,dimensión <= 126 cm; owner=prefijo_RESERVA
102252,29,29,3,AV13702,3,C,12.0,balda_9h,subhueco_balda,0.25,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA
84103,33,33,1,AH10006,1,B,1.0,EU,posicion_rack,1.0,match_articulo; owner=prefijo_RESERVA
51218,61,61,1,AJ02201,1,C,2.0,suelo_126,posicion_suelo,0.5,dimensión <= 126 cm; owner=prefijo_RESERVA
65072,82,82,90,B03,1,C,12.0,balda_9h,subhueco_balda,7.5,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA
74019,34,34,270,AJ09003,1,A,270.0,EU,posicion_rack,1.0,match_articulo_propietario; owner=prefijo_RESERVA
*MULTI*,,sin_asignacion_segura,1,AR07204,1,C,,revision_manual,revision_manual,,revision_manual_sin_dimensiones; owner=sin_match
15010,29,29,480,TJ01002,1,C,12.0,balda_9h,subhueco_balda,40.0,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA
54096,64,64,1,BA11402,1,C,2.0,suelo_300,posicion_suelo,0.5,dimensión >= 250 cm; owner=prefijo_RESERVA
22206,29,29,2,AU01504,1,C,2.0,suelo_126,posicion_suelo,1.0,dimensión <= 126 cm; owner=prefijo_RESERVA
98887,64,64,53,AZ01902,53,C,,revision_manual,revision_manual,,revision_manual_sin_dimensiones; owner=prefijo_RESERVA
139004,64,64,30,AZ02402,1,A,28.0,EU,posicion_rack,1.0714285714285714,match_articulo_propietario; owner=prefijo_RESERVA
103338,29,29,3,AV13702,3,C,12.0,balda_9h,subhueco_balda,0.25,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA
106308,33,33,186,AV07306,1,C,12.0,balda_9h,subhueco_balda,15.5,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA
186078,61,61,33,AJ02201,33,C,12.0,balda_9h,subhueco_balda,2.75,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA
102137,32,32,2,AV10906,2,C,2.0,suelo_126,posicion_suelo,1.0,dimensión <= 126 cm; owner=prefijo_RESERVA
21017,71,71,5,BA14004,1,C,2.0,suelo_126,posicion_suelo,2.5,dimensión <= 126 cm; owner=prefijo_RESERVA
148022,37 7BULTOS,37,7,AL105,1,C,12.0,balda_9h,subhueco_balda,0.5833333333333334,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA
204091,33,33,3,BB13701,3,C,12.0,balda_9h,subhueco_balda,0.25,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA
16005,77,77,4,AJ13006,4,B,10.5,EU,posicion_rack,0.38095238095238093,match_articulo; owner=prefijo_RESERVA
108040,71,71,1,BB09205,1,C,1.0,suelo_250,posicion_suelo,1.0,dimensión >= 190 cm o categoría exterior; owner=prefijo_RESERVA
54063,32,32,1,AK01803,1,C,12.0,balda_9h,subhueco_balda,0.08333333333333333,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA
*MULTI*,,sin_asignacion_segura,1,AO13004,1,C,,revision_manual,revision_manual,,revision_manual_sin_dimensiones; owner=sin_match
98501,61,61,1,AV12403,1,C,,revision_manual,revision_manual,,revision_manual_sin_dimensiones; owner=prefijo_RESERVA
98614,61,61,10,AO13903,10,C,,revision_manual,revision_manual,,revision_manual_sin_dimensiones; owner=prefijo_RESERVA
74036,60,60,330,BA05001,1,C,12.0,balda_9h,subhueco_balda,27.5,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA
151030,29,29,2,AJ09706,2,C,12.0,balda_9h,subhueco_balda,0.16666666666666666,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA
33049,64,64,2,BE09401,1,A,3.0,EU,posicion_rack,0.6666666666666666,match_articulo_propietario; owner=prefijo_RESERVA
204025,64,64,21,AK08806,1,B,17.5,suelo_126,posicion_suelo,1.2,match_articulo; owner=prefijo_RESERVA
16022,77,77,6,AQ07604,1,B,6.0,EU,posicion_rack,1.0,match_articulo; owner=prefijo_RESERVA
109314,29,29,6,BF07103,6,C,16.0,AM,posicion_rack,0.375,dimensión compatible con AM; owner=prefijo_RESERVA
991006,32,32,1,AV10906,1,C,2.0,suelo_126,posicion_suelo,0.5,dimensión <= 126 cm; owner=prefijo_RESERVA
105098,33,33,18,BB13701,18,C,12.0,balda_9h,subhueco_balda,1.5,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA
43046,7,7,1,AZ00903,1,C,16.0,AM,posicion_rack,0.0625,dimensión compatible con AM; owner=prefijo_RESERVA
98563,61,61,8,AR09401,8,C,,revision_manual,revision_manual,,revision_manual_sin_dimensiones; owner=prefijo_RESERVA
*MULTI*,,sin_asignacion_segura,1,AV13002,1,C,,revision_manual,revision_manual,,revision_manual_sin_dimensiones; owner=sin_match
147040,64,64,4,AV08309,4,C,2.0,suelo_126,posicion_suelo,2.0,dimensión <= 126 cm; owner=prefijo_RESERVA
23001,23,23,4,97,1,C,1.0,suelo_250,posicion_suelo,4.0,dimensión >= 190 cm o categoría exterior; owner=prefijo_RESERVA
109044,32,32,7,AV10906,7,C,12.0,balda_9h,subhueco_balda,0.5833333333333334,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA
98016,14 VOLUNTARIA,14,18,BA02801,18,C,,revision_manual,revision_manual,,revision_manual_sin_dimensiones; owner=prefijo_RESERVA
22054,32,32,2,AU05001,1,C,2.0,suelo_126,posicion_suelo,1.0,dimensión <= 126 cm; owner=prefijo_RESERVA
98615,61,61,5,AO14002,5,C,,revision_manual,revision_manual,,revision_manual_sin_dimensiones; owner=prefijo_RESERVA
98641,61,61,8,AV10306,8,C,,revision_manual,revision_manual,,revision_manual_sin_dimensiones; owner=prefijo_RESERVA
61016,61,61,77,BD04601,77,B,252.0,EU,posicion_rack,0.3055555555555556,match_articulo; owner=prefijo_RESERVA
98507,61,61,240,AV10203,1,C,,revision_manual,revision_manual,,revision_manual_sin_dimensiones; owner=prefijo_RESERVA
12070,77,77,163,AV07110,163,B,209.0,EU,posicion_rack,0.7799043062200957,match_articulo; owner=prefijo_RESERVA
*MULTI*,,sin_asignacion_segura,1,AV10306,1,C,,revision_manual,revision_manual,,revision_manual_sin_dimensiones; owner=sin_match
98581,61,61,4,AZ02300,4,C,,revision_manual,revision_manual,,revision_manual_sin_dimensiones; owner=prefijo_RESERVA
