line_id,transaction_id,propietario,owner_name,location_actual,location_contrafactual,ahorro_metros_linea_proxy,unidad_analisis,escenario
2204,SG06202625637-01|95,95,INNOVACION,016-087-40,009-005-00,273.8,linea,B_base_recomendado
2202,SG06202625638-01|95,95,INNOVACION,016-087-40,009-005-00,273.8,linea,B_base_recomendado
2303,SG06202625639-02|30,30,EVENTOS COMERCIALES,015-053-40,008-002-10,199.4,linea,B_base_recomendado
2300,SG06202625648-01|30,30,EVENTOS COMERCIALES,015-045-20,008-008-00,165.8,linea,B_base_recomendado
2284,SG06202625649-01|30,30,EVENTOS COMERCIALES,015-073-20,008-021-20,201.8,linea,B_base_recomendado
2275,SG06202625650-01|29,29,MAHOU FUTBOL,015-006-10,008-010-20,51.4571,linea,B_base_recomendado
2277,SG06202625650-01|29,29,MAHOU FUTBOL,015-007-40,008-010-30,51.4571,linea,B_base_recomendado
2278,SG06202625650-01|29,29,MAHOU FUTBOL,015-035-30,008-006-40,51.4571,linea,B_base_recomendado
2279,SG06202625650-01|29,29,MAHOU FUTBOL,015-005-30,008-002-10,51.4571,linea,B_base_recomendado
2280,SG06202625650-01|29,29,MAHOU FUTBOL,015-030-20,008-002-00,51.4571,linea,B_base_recomendado
2281,SG06202625650-01|29,29,MAHOU FUTBOL,015-104-00,008-007-00,51.4571,linea,B_base_recomendado
2282,SG06202625650-01|29,29,MAHOU FUTBOL,010-083-30,008-008-00,51.4571,linea,B_base_recomendado
2255,SG06202625653-01|23,23,MAHOU-MARKETING OCIO,015-122-30,007-003-10,373.6,linea,B_base_recomendado
2283,SG06202625654-01|29,29,MAHOU FUTBOL,014-041-20,008-005-40,152.4,linea,B_base_recomendado
2307,SG06202625655-01|89,89,BRAND MANAGEMENT MERCADO,015-119-10,010-063-09,189.4,linea,B_base_recomendado
2340,SG06202625657-01|29,29,MAHOU FUTBOL,015-077-30,008-013-10,134.5,linea,B_base_recomendado
