transaction_id,propietario,owner_name,lineas_transaccion,metros_actuales,metros_contrafactuales,ahorro_metros,ahorro_pct,unidad_analisis,escenario
SGP202625387|4,4,NOMBRE,1,136.4,40.8,95.6,0.70088,transaccion,B_base_recomendado
SGP202625388|6,6,CRAFT,5,234.4,37.8,196.6,0.838737,transaccion,B_base_recomendado
SGP202625389|6,6,CRAFT,2,222.4,35.4,187.0,0.840827,transaccion,B_base_recomendado
SGP202625390|6,6,CRAFT,2,222.4,35.4,187.0,0.840827,transaccion,B_base_recomendado
SGP202625391|6,6,CRAFT,1,192.8,37.8,155.0,0.803942,transaccion,B_base_recomendado
SGP202625392|6,6,CRAFT,2,404.2,37.8,366.4,0.906482,transaccion,B_base_recomendado
SGP202625393|6,6,CRAFT,2,404.2,37.8,366.4,0.906482,transaccion,B_base_recomendado
SGP202625395|61,61,MAHOU CORPORATIVO,13,630.4,192.8,437.6,0.694162,transaccion,B_base_recomendado
SGP202625396|4,4,NOMBRE,2,370.2,38.4,331.8,0.896272,transaccion,B_base_recomendado
SGP202625398|30,30,EVENTOS COMERCIALES,2,360.6,29.2,331.4,0.919024,transaccion,B_base_recomendado
SGP202625402|4,4,NOMBRE,2,395.6,2.4,393.2,0.993933,transaccion,B_base_recomendado
SGP202625404|4,4,NOMBRE,2,395.6,2.4,393.2,0.993933,transaccion,B_base_recomendado
SGP202625405|4,4,NOMBRE,2,395.6,2.4,393.2,0.993933,transaccion,B_base_recomendado
SGP202625411|29,29,MAHOU FUTBOL,4,171.0,26.8,144.2,0.843275,transaccion,B_base_recomendado
SGP202625411|89,89,BRAND MANAGEMENT MERCADO,1,509.8,190.4,319.4,0.62652,transaccion,B_base_recomendado
SGP202625422|29,29,MAHOU FUTBOL,2,113.4,36.4,77.0,0.679012,transaccion,B_base_recomendado
SGP202625423|4,4,NOMBRE,2,274.2,62.4,211.8,0.772429,transaccion,B_base_recomendado
SGP202625424|23,23,MAHOU-MARKETING OCIO,6,614.0,47.0,567.0,0.923453,transaccion,B_base_recomendado
SGP202625431|29,29,MAHOU FUTBOL,3,171.0,26.8,144.2,0.843275,transaccion,B_base_recomendado
SGP202625432|4,4,NOMBRE,1,271.8,4.8,267.0,0.98234,transaccion,B_base_recomendado
SGP202625433|4,4,NOMBRE,2,403.8,36.0,367.8,0.910847,transaccion,B_base_recomendado
SGP202625436|4,4,NOMBRE,4,500.6,79.2,421.4,0.84179,transaccion,B_base_recomendado
SGP202625437|4,4,NOMBRE,1,395.6,2.4,393.2,0.993933,transaccion,B_base_recomendado
SGP202625438|23,23,MAHOU-MARKETING OCIO,1,105.8,20.6,85.2,0.805293,transaccion,B_base_recomendado
SGP202625439|23,23,MAHOU-MARKETING OCIO,2,337.6,72.4,265.2,0.785545,transaccion,B_base_recomendado
SGP202625440|5,5,NOMBRE,1,488.6,64.2,424.4,0.868604,transaccion,B_base_recomendado
SGP202625441|96,96,NOMBRE,4,318.4,79.6,238.8,0.75,transaccion,B_base_recomendado
SGP202625442|3,3,ALHAMBRA,1,195.2,48.0,147.2,0.754098,transaccion,B_base_recomendado
SGP202625449|23,23,MAHOU-MARKETING OCIO,1,382.2,13.4,368.8,0.96494,transaccion,B_base_recomendado
SGP202625455|96,96,NOMBRE,1,108.6,31.6,77.0,0.709024,transaccion,B_base_recomendado
SGP202625456|5,5,NOMBRE,1,233.6,45.0,188.6,0.807363,transaccion,B_base_recomendado
SGP202625459|4,4,NOMBRE,3,298.2,69.6,228.6,0.7666,transaccion,B_base_recomendado
SGP202625460|77,77,ASUNTOS CORPORATIVOS Y SOSTENIBILIDAD,1,435.0,78.0,357.0,0.82069,transaccion,B_base_recomendado
SGP202625462|4,4,NOMBRE,2,298.2,69.6,228.6,0.7666,transaccion,B_base_recomendado
SGP202625463|4,4,NOMBRE,2,400.4,43.2,357.2,0.892108,transaccion,B_base_recomendado
SGP202625494|12,12,ESPACIOS CERVECERAS,5,631.8,73.2,558.6,0.884141,transaccion,B_base_recomendado
SGP202625504|96,96,NOMBRE,3,259.8,36.4,223.4,0.859892,transaccion,B_base_recomendado
SGP202625507|4,4,NOMBRE,1,322.2,12.0,310.2,0.962756,transaccion,B_base_recomendado
SGP202625512|12,12,ESPACIOS CERVECERAS,2,373.6,68.4,305.2,0.816916,transaccion,B_base_recomendado
SGP202625513|29,29,MAHOU FUTBOL,3,171.0,36.4,134.6,0.787135,transaccion,B_base_recomendado
SGP202625513|4,4,NOMBRE,8,652.8,146.4,506.4,0.775735,transaccion,B_base_recomendado
SGP202625514|29,29,MAHOU FUTBOL,3,171.0,26.8,144.2,0.843275,transaccion,B_base_recomendado
SGP202625514|4,4,NOMBRE,6,671.8,98.4,573.4,0.853528,transaccion,B_base_recomendado
SGP202625515|29,29,MAHOU FUTBOL,1,171.0,26.8,144.2,0.843275,transaccion,B_base_recomendado
SGP202625515|4,4,NOMBRE,4,605.4,62.4,543.0,0.896928,transaccion,B_base_recomendado
SGP202625516|4,4,NOMBRE,4,403.8,64.8,339.0,0.839525,transaccion,B_base_recomendado
SGP202625517|4,4,NOMBRE,1,267.0,19.2,247.8,0.92809,transaccion,B_base_recomendado
SGP202625518|4,4,NOMBRE,4,585.4,31.2,554.2,0.946703,transaccion,B_base_recomendado
SGP202625519|4,4,NOMBRE,3,462.8,40.8,422.0,0.911841,transaccion,B_base_recomendado
SGP202625520|4,4,NOMBRE,4,460.4,144.0,316.4,0.687228,transaccion,B_base_recomendado
SGP202625521|4,4,NOMBRE,2,357.2,9.6,347.6,0.973124,transaccion,B_base_recomendado
SGP202625522|30,30,EVENTOS COMERCIALES,1,219.0,36.4,182.6,0.83379,transaccion,B_base_recomendado
SGP202625532|4,4,NOMBRE,1,322.2,12.0,310.2,0.962756,transaccion,B_base_recomendado
SGP202625533|4,4,NOMBRE,1,288.6,21.6,267.0,0.925156,transaccion,B_base_recomendado
SGP202625535|4,4,NOMBRE,1,288.6,21.6,267.0,0.925156,transaccion,B_base_recomendado
SGP202625541|4,4,NOMBRE,2,322.2,21.6,300.6,0.932961,transaccion,B_base_recomendado
SGP202625542|4,4,NOMBRE,1,283.8,19.2,264.6,0.932347,transaccion,B_base_recomendado
SGP202625543|4,4,NOMBRE,4,379.8,84.0,295.8,0.778831,transaccion,B_base_recomendado
SGP202625544|4,4,NOMBRE,1,403.8,24.0,379.8,0.940565,transaccion,B_base_recomendado
SGP202625545|4,4,NOMBRE,3,451.8,40.8,411.0,0.909695,transaccion,B_base_recomendado
SGP202625547|4,4,NOMBRE,1,400.4,26.4,374.0,0.934066,transaccion,B_base_recomendado
SGP202625548|30,30,EVENTOS COMERCIALES,1,226.2,26.8,199.4,0.881521,transaccion,B_base_recomendado
SGP202625548|96,96,NOMBRE,1,214.2,36.4,177.8,0.830065,transaccion,B_base_recomendado
SGP202625551|96,96,NOMBRE,1,214.2,36.4,177.8,0.830065,transaccion,B_base_recomendado
SGP202625552|62,62,MAHOU JOVEN,3,401.4,195.2,206.2,0.513702,transaccion,B_base_recomendado
SGP202625556|3,3,ALHAMBRA,5,228.6,86.4,142.2,0.622047,transaccion,B_base_recomendado
SGP202625559|30,30,EVENTOS COMERCIALES,3,226.2,41.2,185.0,0.81786,transaccion,B_base_recomendado
nan|24,24,MCC MADRID,3,300.2,59.8,240.4,0.800799,transaccion,B_base_recomendado
nan|82,82,BRUTUS DESARROLLO COMERCIAL,725,41318.2,4776.8,36541.4,0.88439,transaccion,B_base_recomendado
nan|86,86,GOLF,32,1181.4,135.6,1045.8,0.885221,transaccion,B_base_recomendado
