propietario,owner_name,picks_2026,lineas_2026,horas_actuales,horas_contrafactuales,ahorro_horas,metros_actuales,metros_contrafactuales,ahorro_metros,pasillos_tocados_med_actual,pasillos_tocados_med_contrafactual,cambios_pasillo_med_actual,cambios_pasillo_med_contrafactual,reenganches_med_actual,reenganches_med_contrafactual,fragmentacion_proxy_med_actual,fragmentacion_proxy_med_contrafactual,busqueda_proxy_med_actual,busqueda_proxy_med_contrafactual,maniobra_proxy_med_actual,maniobra_proxy_med_contrafactual,transacciones_h_actual,transacciones_h_contrafactual,lineas_h_actual,lineas_h_contrafactual,uplift_productividad_pct,pasillos_actuales,num_pasillos_actuales,bloques_discontinuos_actuales,amplitud_pasillos_actual,dispersion_actual,pasillos_objetivo,num_pasillos_objetivo,bloques_discontinuos_objetivo,amplitud_pasillos_objetivo,escenario
3,ALHAMBRA,130,405,48.453944444444446,10.079552609384656,38.37439183505979,34626.8,5748.0,28878.8,1.5615384615384615,1.0,0.7,0.0,0.13846153846153847,0.0,1.4500176923076922,0.5,0.7,0.0,2.753846153846154,2.0538461538461537,2.68296010759358,12.897397834796989,8.35845264288769,40.18035479302139,3.8071522935780875,"6,7,8,9,10,11,12,13,14,15,16,18,19,20",14,2,13,1.8752,"6,7",2.0,1.0,1.0,B_base_recomendado
4,NOMBRE,147,373,46.451055555555556,8.546246644558439,37.90480891099712,52619.2,5688.0,46931.2,1.5442176870748299,1.0,0.5986394557823129,0.0,0.05442176870748299,0.0,1.4339285714285714,0.0,0.5986394557823129,0.0,2.129251700680272,1.530612244897959,3.1646213039053053,17.200533300030344,8.0299574582087,43.644890618444336,4.435258012958453,"6,7,8,9,10,11,12,13,14,15,16,18,19,20",14,2,13,2.3639,6,1.0,1.0,0.0,B_base_recomendado
30,EVENTOS COMERCIALES,68,351,39.784277777777774,7.603768364172653,32.18050941360512,21660.2,4400.0,17260.2,1.838235294117647,1.0,1.1470588235294117,0.0,0.3088235294117647,0.0,1.6544117647058822,0.0,1.1470588235294117,0.0,5.132352941176471,3.661764705882353,1.7092179071297011,8.942934179899746,8.822580667684193,46.161322016835456,4.232179081786982,"6,9,10,11,12,14,15,16,18,20",10,5,13,1.2882,8,1.0,1.0,0.0,B_base_recomendado
23,MAHOU-MARKETING OCIO,108,428,45.97266666666667,15.150933348269918,30.82173331839675,35536.4,5373.4,30163.0,1.6203703703703705,1.3055555555555556,0.7592592592592593,0.8981481481481481,0.1388888888888889,0.5925925925925926,1.5046453703703704,0.6527777777777778,0.7592592592592593,0.8981481481481481,3.5277777777777777,3.6666666666666665,2.3492220014791396,7.128273718683642,9.309879783639554,28.249084737005543,2.0343125146092915,"6,7,8,9,10,11,12,13,14,15,16,18,19,20",14,2,13,2.6928,"7,8",2.0,1.0,1.0,B_base_recomendado
95,INNOVACION,45,243,22.49561111111111,4.864963889687298,17.630647221423814,21249.6,2212.2,19037.4,2.488888888888889,1.0,1.6444444444444444,0.0,0.15555555555555556,0.0,2.2974466666666666,0.0,1.6444444444444444,0.0,5.7555555555555555,4.111111111111111,2.0003901995697926,9.249811719135376,10.802107077676881,49.94898328333104,3.6240037174370565,"7,8,9,10,11,12,13,14,15,16,18,19,20",13,2,12,1.6734,9,1.0,1.0,0.0,B_base_recomendado
29,MAHOU FUTBOL,82,188,19.768722222222223,4.220701968199082,15.548020254023141,19451.2,2857.6,16593.6,1.2682926829268293,1.0,0.2804878048780488,0.0,0.012195121951219513,0.0,1.1777195121951218,0.0,0.2804878048780488,0.0,1.5731707317073171,1.2926829268292683,4.147966625168265,19.42804789767905,9.5099722625809,44.54235371663002,3.683752222063971,"6,7,8,9,10,11,12,13,14,15,16,18,19,20",14,2,13,2.5385,8,1.0,1.0,0.0,B_base_recomendado
96,NOMBRE,55,190,16.88861111111111,5.384423715947269,11.504187395163843,16879.0,2885.2,13993.8,1.290909090909091,1.1272727272727272,0.43636363636363634,0.18181818181818182,0.14545454545454545,0.05454545454545454,1.1987199999999998,0.5636363636363636,0.43636363636363634,0.18181818181818182,2.8181818181818183,2.5636363636363635,3.256632510403132,10.214649310956757,11.250185035938092,35.28697034694152,2.1365679972568676,"6,7,8,9,10,11,12,13,14,15,16,18,19,20",14,2,13,2.2501,"8,9",2.0,1.0,1.0,B_base_recomendado
86,GOLF,4,71,9.119444444444444,1.0475322647479013,8.071912179696543,2706.2,422.4,2283.8,1.25,1.0,0.5,0.0,0.25,0.0,0.8333499999999999,0.0,0.5,0.0,14.75,11.0,0.43862321047822117,3.8184981356756955,7.7855619859884255,67.77834190824359,7.7056454023772964,"12,15,20",3,3,7,0.3788,12,1.0,1.0,0.0,B_base_recomendado
5,NOMBRE,42,110,10.3835,2.770713394969175,7.612786605030825,12575.4,1966.8,10608.6,1.619047619047619,1.0,0.6666666666666666,0.0,0.047619047619047616,0.0,1.4945285714285714,0.5,0.6666666666666666,0.0,1.9047619047619047,1.2380952380952381,4.044878894399769,15.158550890272526,10.593730437713681,39.70096661738042,2.7475907897415417,"7,8,9,10,11,12,13,14,15,16,18,19,20",13,2,12,2.6021,"9,10",2.0,1.0,1.0,B_base_recomendado
6,CRAFT,48,121,6.328777777777778,2.638330212498424,3.690447565279354,12445.6,1747.2,10698.4,1.6875,1.0,0.6875,0.0,0.0,0.0,1.5468645833333332,0.0,0.6875,0.0,2.125,1.4375,7.584402816060675,18.19332537398545,19.119015432152953,45.86234104692166,1.3987815277241604,"8,9,10,11,12,13,14,15,16,18,19,20",12,2,11,1.877,9,1.0,1.0,0.0,B_base_recomendado
