propietario,owner_name,horas_ahorradas,ahorro_personal_equivalente_eur,ahorro_carretilla_equivalente_eur,ahorro_total_equivalente_eur,escenario
77,ASUNTOS CORPORATIVOS Y SOSTENIBILIDAD,0.612597133646936,13.477136940232592,4.211605293822686,17.688742234055276,C_agresivo
12,ESPACIOS CERVECERAS,0.5787902528721289,12.733385563186836,3.979182988495886,16.712568551682722,C_agresivo
79,NOMBRE,0.5580506589878026,12.277114497731658,3.836598280541143,16.113712778272802,C_agresivo
14,FUNDACIÓN MAHOU SAN MIGUEL,0.3933700760792475,8.654141673743446,2.7044192730448264,11.358560946788273,C_agresivo
46,REFEEL,0.374645630004234,8.242203860093149,2.5756887062791085,10.817892566372258,C_agresivo
76,NOMBRE,0.30113362786690917,6.624939813072002,2.0702936915850008,8.695233504657002,C_agresivo
24,MCC MADRID,0.28459598277471226,6.2611116210436695,1.9565973815761466,8.217709002619817,C_agresivo
74,EXPERIENCIA Y CRECIMIENTO DE CLIENTES,0.1366013328265775,3.0052293221847046,0.9391341631827202,3.944363485367425,C_agresivo
32,MCC CENTRO - OESTE,0.12278903615567682,2.7013587954248903,0.8441746235702783,3.5455334189951686,C_agresivo
7,,0.04256557031860229,0.9364425470092503,0.2926382959403907,1.229080842949641,C_agresivo
34,CUENTAS NACIONALES,-0.022751013652626745,-0.5005223003577883,-0.15641321886180887,-0.6569355192195971,C_agresivo
87,,-0.12215848811652731,-2.6874867385636008,-0.8398396058011253,-3.527326344364726,C_agresivo
16,,-0.5289680221333822,-11.637296486934408,-3.6366551521670027,-15.273951639101412,C_agresivo
90,HUB CONTENIDO & ACTIVACIÓN,-0.9887260319435827,-21.75197270275882,-6.797491469612131,-28.549464172370953,C_agresivo
40,,-46.762534251805654,-1028.7757535397243,-321.4924229811639,-1350.2681765208881,C_agresivo
