pasillo_destino,propietario,owner_name,rangos_suelo,rangos_fisicos,posicion_desde_global,posicion_hasta_global,posiciones_totales
8,62,MAHOU JOVEN,028-028 (suelo_250),impar:055,28,28,1
9,34,CUENTAS NACIONALES,011-013 (suelo_300) | 026-033 (suelo_300) | 050-073 (suelo_250) | 086-087 (suelo_250) | 093-094 (suelo_126),impar:021-025 | impar:051-065 | impar:099-107 | par:002-038 | par:064-066 | par:078-080,11,94,39
9,49,MAHOU - SANDRINE GIRAUD,023-023 (suelo_300) | 084-084 (suelo_250) | 104-105 (suelo_126),impar:045 | par:060 | par:100-102,23,105,4
9,62,MAHOU JOVEN,014-017 (suelo_300) | 034-038 (suelo_250) | 074-077 (suelo_250) | 088-089 (suelo_126) | 095-096 (suelo_126) | 106-106 (balda_9h),impar:027-033 | impar:067-075 | par:040-046 | par:068-070 | par:082-084 | par:104,14,106,18
9,64,CORONA,001-009 (suelo_300) | 018-022 (suelo_300) | 039-043 (suelo_250) | 078-083 (suelo_250) | 090-090 (suelo_126) | 097-103 (suelo_126) | 107-108 (balda_9h),impar:001-017 | impar:035-043 | impar:077-085 | par:048-058 | par:072 | par:086-098 | par:106-108,1,108,35
9,89,BRAND MANAGEMENT MERCADO,010-010 (suelo_300) | 024-025 (suelo_300) | 044-049 (suelo_250) | 085-085 (suelo_250) | 091-092 (suelo_126),impar:019 | impar:047-049 | impar:087-097 | par:062 | par:074-076,10,92,12
10,34,CUENTAS NACIONALES,007-007 (suelo_300) | 044-046 (suelo_250) | 079-080 (suelo_126) | 100-100 (normal),impar:013 | impar:087-091 | par:050-052 | par:092,7,100,7
10,71,BUDWEISER,005-006 (suelo_300) | 021-021 (suelo_300) | 037-040 (suelo_250) | 065-065 (suelo_250) | 077-078 (suelo_126),impar:009-011 | impar:041 | impar:073-079 | par:022 | par:046-048,5,78,10
10,77,ASUNTOS CORPORATIVOS Y SOSTENIBILIDAD,022-024 (suelo_300) | 041-043 (suelo_250) | 066-069 (suelo_250) | 091-093 (suelo_126) | 098-099 (balda_9h) | 107-108 (normal),impar:043-047 | impar:081-085 | par:024-030 | par:074-078 | par:088-090 | par:106-108,22,108,17
10,96,VENUES,001-004 (suelo_300) | 008-020 (suelo_300) | 025-036 (suelo_250) | 047-064 (suelo_250) | 070-076 (suelo_126) | 081-090 (suelo_126) | 094-097 (balda_9h) | 101-106 (normal),impar:001-007 | impar:015-039 | impar:049-071 | impar:093-107 | par:002-020 | par:032-044 | par:054-072 | par:080-086 | par:094-104,1,106,74
11,72,LA SALVE,030-030 (suelo_300) | 068-068 (suelo_250) | 090-091 (suelo_126) | 107-107 (normal),impar:059 | par:028 | par:072-074 | par:106,30,107,5
11,74,EXPERIENCIA Y CRECIMIENTO DE CLIENTES,017-017 (suelo_300) | 048-049 (suelo_250),impar:033 | impar:095-097,17,49,3
11,76,UNIDAD INTERNACIONAL MARKETING,008-014 (suelo_300) | 027-028 (suelo_300) | 036-043 (suelo_250),impar:015-027 | impar:053-055 | impar:071-085,8,43,17
11,77,ASUNTOS CORPORATIVOS Y SOSTENIBILIDAD,018-021 (suelo_300) | 050-056 (suelo_250) | 077-081 (suelo_126) | 095-096 (balda_9h) | 100-102 (normal),impar:035-041 | impar:099-107 | par:002-004 | par:046-054 | par:082-084 | par:092-096,18,102,21
11,80,ABI HORECA,029-029 (suelo_300) | 044-044 (suelo_250) | 067-067 (suelo_250) | 073-074 (suelo_126) | 106-106 (normal),impar:057 | impar:087 | par:026 | par:038-040 | par:104,29,106,6
11,90,HUB CONTENIDO & ACTIVACION,007-007 (suelo_300) | 035-035 (suelo_250) | 066-066 (suelo_250) | 089-089 (suelo_126),impar:013 | impar:069 | par:024 | par:070,7,89,4
11,95,INNOVACION,001-006 (suelo_300) | 022-026 (suelo_300) | 034-034 (suelo_250) | 057-065 (suelo_250) | 082-088 (suelo_126) | 094-094 (balda_9h) | 097-098 (balda_9h) | 103-105 (normal),impar:001-011 | impar:043-051 | impar:067 | par:006-022 | par:056-068 | par:080 | par:086-088 | par:098-102,1,105,34
11,98,MAHOU CANAL,015-016 (suelo_300) | 031-033 (suelo_300) | 045-047 (suelo_250) | 069-072 (suelo_250) | 075-076 (suelo_126) | 092-093 (suelo_126) | 099-099 (balda_9h) | 108-108 (normal),impar:029-031 | impar:061-065 | impar:089-093 | par:030-036 | par:042-044 | par:076-078 | par:090 | par:108,15,108,18
12,12,ESPACIOS CERVECERAS,015-016 (suelo_300) | 022-023 (suelo_250) | 046-047 (suelo_250) | 068-068 (suelo_126) | 082-082 (normal),impar:029-031 | impar:043-045 | impar:091-093 | par:028 | par:056,15,82,8
12,21,MIXTA,017-017 (suelo_300) | 069-069 (suelo_126),impar:033 | par:030,17,69,2
12,37,ALHAMBRA CORPORATIVO,018-018 (suelo_300) | 024-027 (suelo_250) | 048-048 (suelo_250) | 084-084 (normal),impar:035 | impar:047-053 | impar:095 | par:060,18,84,7
12,46,REFEEL,083-083 (normal),par:058,83,83,1
12,51,MCC BILBAO,002-002 (suelo_300) | 067-067 (suelo_126),impar:003 | par:026,2,67,2
12,60,MARCOS CELEIRO,005-013 (suelo_300) | 031-044 (suelo_250) | 052-065 (suelo_126) | 072-075 (balda_9h) | 076-081 (normal),impar:009-025 | impar:061-087 | impar:103-107 | par:002-022 | par:036-042 | par:044-054,5,81,47
12,74,EXPERIENCIA Y CRECIMIENTO DE CLIENTES,003-003 (suelo_300) | 019-021 (suelo_250) | 028-028 (suelo_250) | 050-050 (suelo_126) | 070-070 (balda_9h),impar:005 | impar:037-041 | impar:055 | impar:099 | par:032,3,70,7
12,79,SAN MIGUEL CORPORATIVO,014-014 (suelo_300) | 045-045 (suelo_250) | 066-066 (suelo_126),impar:027 | impar:089 | par:024,14,66,3
12,86,GOLF,001-001 (suelo_300) | 004-004 (suelo_300) | 029-030 (suelo_250) | 049-049 (suelo_126) | 051-051 (suelo_126) | 071-071 (balda_9h),impar:001 | impar:007 | impar:057-059 | impar:097 | impar:101 | par:034,1,71,7
