pasillo_destino,lado_destino,posicion_fisica,posicion_visual,ubicacion_destino,tipologia,propietario,owner_name,owner_name_abc,picking_lineas_2026,picking_transacciones_2026,picking_unidades_2026,abc_picking_2026,owner_name_final,abc_visual,label_owner_abc
5,impar,99,105,005-105-00,owner_block,4,SOLAN,SOLAN,373.0,147.0,96965.0,A,SOLAN,A,4 SOLAN
5,impar,101,107,005-107-00,owner_block,4,SOLAN,SOLAN,373.0,147.0,96965.0,A,SOLAN,A,4 SOLAN
5,impar,103,109,005-109-00,owner_block,4,SOLAN,SOLAN,373.0,147.0,96965.0,A,SOLAN,A,4 SOLAN
5,impar,105,111,005-111-00,owner_block,4,SOLAN,SOLAN,373.0,147.0,96965.0,A,SOLAN,A,4 SOLAN
5,impar,107,113,005-113-00,owner_block,4,SOLAN,SOLAN,373.0,147.0,96965.0,A,SOLAN,A,4 SOLAN
5,par,2,2,005-002-00,owner_block,4,SOLAN,SOLAN,373.0,147.0,96965.0,A,SOLAN,A,4 SOLAN
5,par,4,4,005-004-00,owner_block,4,SOLAN,SOLAN,373.0,147.0,96965.0,A,SOLAN,A,4 SOLAN
5,par,6,6,005-006-00,owner_block,4,SOLAN,SOLAN,373.0,147.0,96965.0,A,SOLAN,A,4 SOLAN
5,par,8,8,005-008-00,owner_block,4,SOLAN,SOLAN,373.0,147.0,96965.0,A,SOLAN,A,4 SOLAN
5,par,10,10,005-010-00,owner_block,4,SOLAN,SOLAN,373.0,147.0,96965.0,A,SOLAN,A,4 SOLAN
5,par,12,12,005-012-00,owner_block,4,SOLAN,SOLAN,373.0,147.0,96965.0,A,SOLAN,A,4 SOLAN
5,par,14,14,005-014-00,owner_block,4,SOLAN,SOLAN,373.0,147.0,96965.0,A,SOLAN,A,4 SOLAN
5,par,16,16,005-016-00,owner_block,4,SOLAN,SOLAN,373.0,147.0,96965.0,A,SOLAN,A,4 SOLAN
5,par,18,18,005-018-00,owner_block,4,SOLAN,SOLAN,373.0,147.0,96965.0,A,SOLAN,A,4 SOLAN
5,par,20,20,005-020-00,owner_block,4,SOLAN,SOLAN,373.0,147.0,96965.0,A,SOLAN,A,4 SOLAN
5,par,22,22,005-022-00,owner_block,4,SOLAN,SOLAN,373.0,147.0,96965.0,A,SOLAN,A,4 SOLAN
5,par,24,24,005-024-00,owner_block,4,SOLAN,SOLAN,373.0,147.0,96965.0,A,SOLAN,A,4 SOLAN
5,par,26,26,005-026-00,owner_block,4,SOLAN,SOLAN,373.0,147.0,96965.0,A,SOLAN,A,4 SOLAN
5,par,28,28,005-028-00,owner_block,4,SOLAN,SOLAN,373.0,147.0,96965.0,A,SOLAN,A,4 SOLAN
5,par,30,30,005-030-00,owner_block,4,SOLAN,SOLAN,373.0,147.0,96965.0,A,SOLAN,A,4 SOLAN
5,par,32,32,005-032-00,owner_block,4,SOLAN,SOLAN,373.0,147.0,96965.0,A,SOLAN,A,4 SOLAN
5,par,34,34,005-034-00,owner_block,4,SOLAN,SOLAN,373.0,147.0,96965.0,A,SOLAN,A,4 SOLAN
5,par,36,36,005-036-00,owner_block,4,SOLAN,SOLAN,373.0,147.0,96965.0,A,SOLAN,A,4 SOLAN
5,par,38,38,005-038-00,owner_block,4,SOLAN,SOLAN,373.0,147.0,96965.0,A,SOLAN,A,4 SOLAN
5,par,40,40,005-040-00,owner_block,4,SOLAN,SOLAN,373.0,147.0,96965.0,A,SOLAN,A,4 SOLAN
5,par,42,42,005-042-00,owner_block,4,SOLAN,SOLAN,373.0,147.0,96965.0,A,SOLAN,A,4 SOLAN
5,par,44,44,005-044-00,owner_block,4,SOLAN,SOLAN,373.0,147.0,96965.0,A,SOLAN,A,4 SOLAN
5,par,46,46,005-046-00,owner_block,4,SOLAN,SOLAN,373.0,147.0,96965.0,A,SOLAN,A,4 SOLAN
5,par,48,48,005-048-00,owner_block,4,SOLAN,SOLAN,373.0,147.0,96965.0,A,SOLAN,A,4 SOLAN
5,par,50,50,005-050-00,owner_block,4,SOLAN,SOLAN,373.0,147.0,96965.0,A,SOLAN,A,4 SOLAN
5,par,52,52,005-052-00,owner_block,4,SOLAN,SOLAN,373.0,147.0,96965.0,A,SOLAN,A,4 SOLAN
5,par,54,54,005-054-00,owner_block,4,SOLAN,SOLAN,373.0,147.0,96965.0,A,SOLAN,A,4 SOLAN
5,par,,56,005-056-00,puente,,PUENTE,,,,,,PUENTE,PUENTE,Puente
5,par,,58,005-058-00,puente,,PUENTE,,,,,,PUENTE,PUENTE,Puente
5,par,,60,005-060-00,puente,,PUENTE,,,,,,PUENTE,PUENTE,Puente
5,par,56,62,005-062-00,owner_block,4,SOLAN,SOLAN,373.0,147.0,96965.0,A,SOLAN,A,4 SOLAN
5,par,58,64,005-064-00,owner_block,4,SOLAN,SOLAN,373.0,147.0,96965.0,A,SOLAN,A,4 SOLAN
5,par,60,66,005-066-00,owner_block,4,SOLAN,SOLAN,373.0,147.0,96965.0,A,SOLAN,A,4 SOLAN
5,par,62,68,005-068-00,owner_block,4,SOLAN,SOLAN,373.0,147.0,96965.0,A,SOLAN,A,4 SOLAN
5,par,64,70,005-070-00,owner_block,4,SOLAN,SOLAN,373.0,147.0,96965.0,A,SOLAN,A,4 SOLAN
5,par,66,72,005-072-00,owner_block,4,SOLAN,SOLAN,373.0,147.0,96965.0,A,SOLAN,A,4 SOLAN
5,par,68,74,005-074-00,owner_block,4,SOLAN,SOLAN,373.0,147.0,96965.0,A,SOLAN,A,4 SOLAN
5,par,70,76,005-076-00,owner_block,4,SOLAN,SOLAN,373.0,147.0,96965.0,A,SOLAN,A,4 SOLAN
5,par,72,78,005-078-00,owner_block,4,SOLAN,SOLAN,373.0,147.0,96965.0,A,SOLAN,A,4 SOLAN
5,par,74,80,005-080-00,owner_block,4,SOLAN,SOLAN,373.0,147.0,96965.0,A,SOLAN,A,4 SOLAN
5,par,76,82,005-082-00,owner_block,4,SOLAN,SOLAN,373.0,147.0,96965.0,A,SOLAN,A,4 SOLAN
5,par,78,84,005-084-00,owner_block,4,SOLAN,SOLAN,373.0,147.0,96965.0,A,SOLAN,A,4 SOLAN
5,par,80,86,005-086-00,owner_block,4,SOLAN,SOLAN,373.0,147.0,96965.0,A,SOLAN,A,4 SOLAN
5,par,82,88,005-088-00,owner_block,4,SOLAN,SOLAN,373.0,147.0,96965.0,A,SOLAN,A,4 SOLAN
5,par,84,90,005-090-00,owner_block,4,SOLAN,SOLAN,373.0,147.0,96965.0,A,SOLAN,A,4 SOLAN
5,par,86,92,005-092-00,owner_block,4,SOLAN,SOLAN,373.0,147.0,96965.0,A,SOLAN,A,4 SOLAN
5,par,88,94,005-094-00,owner_block,4,SOLAN,SOLAN,373.0,147.0,96965.0,A,SOLAN,A,4 SOLAN
5,par,90,96,005-096-00,owner_block,4,SOLAN,SOLAN,373.0,147.0,96965.0,A,SOLAN,A,4 SOLAN
5,par,92,98,005-098-00,owner_block,4,SOLAN,SOLAN,373.0,147.0,96965.0,A,SOLAN,A,4 SOLAN
5,par,94,100,005-100-00,owner_block,4,SOLAN,SOLAN,373.0,147.0,96965.0,A,SOLAN,A,4 SOLAN
5,par,96,102,005-102-00,owner_block,4,SOLAN,SOLAN,373.0,147.0,96965.0,A,SOLAN,A,4 SOLAN
5,par,98,104,005-104-00,owner_block,4,SOLAN,SOLAN,373.0,147.0,96965.0,A,SOLAN,A,4 SOLAN
5,par,100,106,005-106-00,owner_block,4,SOLAN,SOLAN,373.0,147.0,96965.0,A,SOLAN,A,4 SOLAN
5,par,102,108,005-108-00,owner_block,4,SOLAN,SOLAN,373.0,147.0,96965.0,A,SOLAN,A,4 SOLAN
5,par,104,110,005-110-00,owner_block,4,SOLAN,SOLAN,373.0,147.0,96965.0,A,SOLAN,A,4 SOLAN
5,par,106,112,005-112-00,owner_block,4,SOLAN,SOLAN,373.0,147.0,96965.0,A,SOLAN,A,4 SOLAN
5,par,108,114,005-114-00,owner_block,4,SOLAN,SOLAN,373.0,147.0,96965.0,A,SOLAN,A,4 SOLAN
6,impar,1,1,006-001-00,owner_block,4,SOLAN,SOLAN,373.0,147.0,96965.0,A,SOLAN,A,4 SOLAN
6,impar,3,3,006-003-00,owner_block,4,SOLAN,SOLAN,373.0,147.0,96965.0,A,SOLAN,A,4 SOLAN
6,impar,5,5,006-005-00,owner_block,29,MAHOU FUTBOL,MAHOU FUTBOL,188.0,82.0,20352.0,A,MAHOU FUTBOL,A,29 MAHOU FUTBOL
6,impar,7,7,006-007-00,owner_block,29,MAHOU FUTBOL,MAHOU FUTBOL,188.0,82.0,20352.0,A,MAHOU FUTBOL,A,29 MAHOU FUTBOL
6,impar,9,9,006-009-00,owner_block,29,MAHOU FUTBOL,MAHOU FUTBOL,188.0,82.0,20352.0,A,MAHOU FUTBOL,A,29 MAHOU FUTBOL
6,impar,11,11,006-011-00,owner_block,29,MAHOU FUTBOL,MAHOU FUTBOL,188.0,82.0,20352.0,A,MAHOU FUTBOL,A,29 MAHOU FUTBOL
6,impar,13,13,006-013-00,owner_block,29,MAHOU FUTBOL,MAHOU FUTBOL,188.0,82.0,20352.0,A,MAHOU FUTBOL,A,29 MAHOU FUTBOL
6,impar,15,15,006-015-00,owner_block,29,MAHOU FUTBOL,MAHOU FUTBOL,188.0,82.0,20352.0,A,MAHOU FUTBOL,A,29 MAHOU FUTBOL
6,impar,17,17,006-017-00,owner_block,29,MAHOU FUTBOL,MAHOU FUTBOL,188.0,82.0,20352.0,A,MAHOU FUTBOL,A,29 MAHOU FUTBOL
6,impar,19,19,006-019-00,owner_block,29,MAHOU FUTBOL,MAHOU FUTBOL,188.0,82.0,20352.0,A,MAHOU FUTBOL,A,29 MAHOU FUTBOL
6,impar,21,21,006-021-00,owner_block,29,MAHOU FUTBOL,MAHOU FUTBOL,188.0,82.0,20352.0,A,MAHOU FUTBOL,A,29 MAHOU FUTBOL
6,impar,23,23,006-023-00,owner_block,29,MAHOU FUTBOL,MAHOU FUTBOL,188.0,82.0,20352.0,A,MAHOU FUTBOL,A,29 MAHOU FUTBOL
6,impar,25,25,006-025-00,owner_block,29,MAHOU FUTBOL,MAHOU FUTBOL,188.0,82.0,20352.0,A,MAHOU FUTBOL,A,29 MAHOU FUTBOL
6,impar,27,27,006-027-00,owner_block,29,MAHOU FUTBOL,MAHOU FUTBOL,188.0,82.0,20352.0,A,MAHOU FUTBOL,A,29 MAHOU FUTBOL
6,impar,29,29,006-029-00,owner_block,29,MAHOU FUTBOL,MAHOU FUTBOL,188.0,82.0,20352.0,A,MAHOU FUTBOL,A,29 MAHOU FUTBOL
6,impar,31,31,006-031-00,owner_block,29,MAHOU FUTBOL,MAHOU FUTBOL,188.0,82.0,20352.0,A,MAHOU FUTBOL,A,29 MAHOU FUTBOL
6,impar,33,33,006-033-00,owner_block,29,MAHOU FUTBOL,MAHOU FUTBOL,188.0,82.0,20352.0,A,MAHOU FUTBOL,A,29 MAHOU FUTBOL
6,impar,35,35,006-035-00,owner_block,29,MAHOU FUTBOL,MAHOU FUTBOL,188.0,82.0,20352.0,A,MAHOU FUTBOL,A,29 MAHOU FUTBOL
6,impar,37,37,006-037-00,owner_block,29,MAHOU FUTBOL,MAHOU FUTBOL,188.0,82.0,20352.0,A,MAHOU FUTBOL,A,29 MAHOU FUTBOL
